event,stage,series_date,team_a,team_b,inferno_score_a,inferno_score_b,hltv_match_url
BLAST Premier Spring Final 2024,Groups,2024/1/22,Vitality,og,13,7,https://www.hltv.org/matches/2368862/-
BLAST Premier Spring Final 2024,Groups,2024/1/25,Virtus.pro,Cloud9,13,9,https://www.hltv.org/matches/2368882/-
BLAST Premier Spring Final 2024,Groups,2024/1/26,GamerLegion,FaZe,5,13,https://www.hltv.org/matches/2368872/-
BLAST Premier Spring Final 2024,Groups,2024/1/27,Astralis,Vitality,13,10,https://www.hltv.org/matches/2368867/-
IEM Katowice 2024,Main/Playoffs,2024/1/31,rebels gaming,Eternal Fire,4,13,https://www.hltv.org/matches/2369473/-
IEM Katowice 2024,Main/Playoffs,2024/1/31,rooster,Virtus.pro,4,13,https://www.hltv.org/matches/2369407/-
BLAST Premier World Final 2024,Main/Playoffs,2024/10/30,FaZe,MOUZ,12,12,https://www.hltv.org/matches/2376873/-
BLAST Premier World Final 2024,Main/Playoffs,2024/10/30,G2,tl,13,6,https://www.hltv.org/matches/2376876/-
BLAST Premier World Final 2024,Main/Playoffs,2024/10/31,Natus Vincere,FaZe,13,6,https://www.hltv.org/matches/2376874/-
BLAST Premier World Final 2024,Main/Playoffs,2024/11/2,G2,Vitality,7,13,https://www.hltv.org/matches/2376883/-
Perfect World Shanghai Major 2024,Opening Stage,2024/11/30,tl,wildcard,13,10,https://www.hltv.org/matches/2377675/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/1,Complexity,Imperial,13,4,https://www.hltv.org/matches/2377686/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/1,tl,flyquest,5,13,https://www.hltv.org/matches/2377684/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/2,wildcard,Virtus.pro,13,7,https://www.hltv.org/matches/2377692/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/2,gl,passion ua,13,6,https://www.hltv.org/matches/2377691/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/2,mibr,rare atom,13,9,https://www.hltv.org/matches/2377687/-
Perfect World Shanghai Major 2024,Opening Stage,2024/12/2,flyquest,paiN,6,13,https://www.hltv.org/matches/2377689/-
