event,stage,series_date,team_a,team_b,bo_format,inferno_score_a,inferno_score_b,hltv_match_url,liquipedia_page,rar_filename,downloaded,parsed,n_rounds,notes
IEM Katowice 2024,Main/Playoffs,2024/1/31,rooster,Virtus.pro,,4,13,https://www.hltv.org/matches/2369407/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-rooster-vs-virtuspro-inferno-EDV--1Lpd_bkA1RswmPHTK.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/1/31,rebels gaming,Eternal Fire,,4,13,https://www.hltv.org/matches/2369473/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-eternal-fire-vs-rebels-bo3-hnJ9uohCLoPFzejp5CY6zP.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/1,GamerLegion,Virtus.pro,,5,13,https://www.hltv.org/matches/2369476/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-gamerlegion-vs-virtuspro-bo3-9d6edeHCPxG0UBZl4s0XOG.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/1,FURIA,apeks,,9,13,https://www.hltv.org/matches/2369479/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-apeks-vs-furia-bo3-QXlOzVHzAHHqpbcjyvK9Ct.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/1,m80,rooster,,13,3,https://www.hltv.org/matches/2369480/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-m80-vs-rooster-bo3--EdS7bgNIF5KHSXJ2xyWgB.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/2,BIG,apeks,,13,7,https://www.hltv.org/matches/2369484/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-play-in-big-vs-apeks-bo3-esdDkkiLrUNxm_FgKVTvwB.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/4,FaZe,Eternal Fire,,12,12,https://www.hltv.org/matches/2369487/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-eternal-fire-vs-faze-bo3-NSvOwra3ZJLAlQou2jhAKv.rar,Y,,,
IEM Katowice 2024,Main/Playoffs,2024/2/9,FaZe,G2,,13,9,https://www.hltv.org/matches/2369503/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Katowice,iem-katowice-2024-faze-vs-g2-bo3-lDSpEKhlCSD-s8pPYcVur4.rar,Y,,,
ESL Pro League Season 19,Main/Playoffs,2024/1/22,bestia,ajf,,13,10,https://www.hltv.org/matches/2369439/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_19/South_America,"","",,,
ESL Pro League Season 19,Main/Playoffs,2024/1/23,paiN,w7m,,13,9,https://www.hltv.org/matches/2369442/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_19/South_America,"","",,,
ESL Pro League Season 19,Main/Playoffs,2024/1/23,bestia,Imperial,,12,12,https://www.hltv.org/matches/2369444/-,https://liquipedia.net/counterstrike/ESL/Pro_League/Season_19/South_America,"","",,,
PGL Major Copenhagen 2024,Main/Playoffs,2024/3/28,Vitality,Cloud9,,13,8,https://www.hltv.org/matches/2370721/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen,pgl-cs2-major-copenhagen-2024-cloud9-vs-vitality-bo3-RvWbJFcoqQS_A5b3fq8wkN.rar,Y,,,TEST-SET candidate (QF)
PGL Major Copenhagen 2024,Main/Playoffs,2024/3/29,Eternal Fire,Natus Vincere,,9,13,https://www.hltv.org/matches/2370723/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen,"","",,,TEST-SET candidate (QF)
PGL Major Copenhagen 2024,Main/Playoffs,2024/3/29,G2,MOUZ,,13,9,https://www.hltv.org/matches/2370724/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen,pgl-cs2-major-copenhagen-2024-mouz-vs-g2-bo3-k_35u4wuU34XSYjyDaZHTn.rar,Y,,,TEST-SET candidate (QF)
PGL Major Copenhagen 2024,Main/Playoffs,2024/3/30,FaZe,Vitality,,13,8,https://www.hltv.org/matches/2370725/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen,pgl-cs2-major-copenhagen-2024-vitality-vs-faze-bo3-jlkLGLV1kDcMWp0cgIFaOA.rar,Y,,,TEST-SET candidate (SF)
PGL Major Copenhagen 2024,Main/Playoffs,2024/3/31,FaZe,Natus Vincere,,3,13,https://www.hltv.org/matches/2370727/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen,pgl-cs2-major-copenhagen-2024-faze-vs-natus-vincere-bo3-QEOvW4A6iftqXM-MiRXq-9.rar,Y,,,TEST-SET candidate (GrandFinal)
PGL Major Copenhagen 2024,Elimination Stage,2024/3/21,Vitality,Eternal Fire,,10,13,https://www.hltv.org/matches/2370630/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-vitality-vs-eternal-fire-inferno-QBb8rgnBMHzXVHQ7TZ2P3c.rar,Y,,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/21,Virtus.pro,Imperial,,6,13,https://www.hltv.org/matches/2370631/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-virtuspro-vs-imperial-inferno-khjhOWhI70GAS-g9WWfGzc.rar,Y,,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/21,G2,FURIA,,13,3,https://www.hltv.org/matches/2370635/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-g2-vs-furia-inferno-aEobAWRtETpILX6JssSwLJ.rar,Y,,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/21,Virtus.pro,paiN,,13,9,https://www.hltv.org/matches/2370639/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-virtuspro-vs-pain-inferno-y7t-XNpP0lvaarNCS0wDsr.rar,Y,,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/22,paiN,The MongolZ,,12,12,https://www.hltv.org/matches/2370649/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-pain-vs-themongolz-bo3-jpqXxmTQx0XX8DCgl82DgY.rar,Y,,,score pre-OT (went to overtime)
PGL Major Copenhagen 2024,Elimination Stage,2024/3/22,ECSTATIC,FURIA,,12,12,https://www.hltv.org/matches/2370651/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-ecstatic-vs-furia-bo3-jK3FVXUKON0PJXIYi9-tsD.rar,Y,,,score pre-OT (went to overtime)
PGL Major Copenhagen 2024,Elimination Stage,2024/3/23,Eternal Fire,Virtus.pro,,13,7,https://www.hltv.org/matches/2370652/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,"","",,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/23,Complexity,Vitality,,12,12,https://www.hltv.org/matches/2370654/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-complexity-vs-vitality-bo3-sY4ulkzdMckO1RJnk-7NRf.rar,Y,,,score pre-OT (went to overtime)
PGL Major Copenhagen 2024,Elimination Stage,2024/3/23,ECSTATIC,G2,,7,13,https://www.hltv.org/matches/2370655/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-ecstatic-vs-g2-bo3-T_ST9R3kdudNZcw587UGLu.rar,Y,,,
PGL Major Copenhagen 2024,Elimination Stage,2024/3/24,Virtus.pro,G2,,11,13,https://www.hltv.org/matches/2370659/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Elimination_Stage,pgl-cs2-major-copenhagen-2024-virtuspro-vs-g2-bo3-_HljkSgUssxnv7gY6zueWR.rar,Y,,,
PGL Major Copenhagen 2024,Opening Stage,2024/3/18,The MongolZ,amkal esports,,13,10,https://www.hltv.org/matches/2370616/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Opening_Stage,pgl-cs2-major-copenhagen-2024-opening-stage-themongolz-vs-amkal-bo3-VrLekJ9Z8WotO_TLhwxI8p.rar,Y,,,lower-tier opp
PGL Major Copenhagen 2024,Opening Stage,2024/3/19,Eternal Fire,GamerLegion,,13,2,https://www.hltv.org/matches/2370619/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Opening_Stage,pgl-cs2-major-copenhagen-2024-opening-stage-eternal-fire-vs-gamerlegion-bo3-B7QmAmP99xBEv8NowWJ4Id.rar,Y,,,
PGL Major Copenhagen 2024,Opening Stage,2024/3/19,ECSTATIC,Imperial,,10,13,https://www.hltv.org/matches/2370623/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Opening_Stage,pgl-cs2-major-copenhagen-2024-opening-stage-ecstatic-vs-imperial-bo3-4RloGg0MLXVUUy3X0oqIZb.rar,Y,,,
PGL Major Copenhagen 2024,Opening Stage,2024/3/19,legacy,apeks,,13,7,https://www.hltv.org/matches/2370622/-,https://liquipedia.net/counterstrike/PGL/2024/Copenhagen/Opening_Stage,pgl-cs2-major-copenhagen-2024-opening-stage-legacy-vs-apeks-bo3-rwKMantk5AEOWG7C7IniN1.rar,Y,,,lower-tier opp
IEM Chengdu 2024,Main/Playoffs,2024/4/8,G2,tl,,9,13,https://www.hltv.org/matches/2370911/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-g2-vs-liquid-bo3-2GmHSR3HLBqwyFCuzVxiFV.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/10,tl,MOUZ,,11,13,https://www.hltv.org/matches/2370918/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-liquid-vs-mouz-bo3-aOichX1eIp5arGiEEUj1pH.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/9,G2,lvg,,13,11,https://www.hltv.org/matches/2370916/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-g2-vs-lynn-vision-bo3-JetPIq9P0EfQXO43bDK42c.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/8,FaZe,nemiga,,13,8,https://www.hltv.org/matches/2370909/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-faze-vs-nemiga-inferno-nU4rMy8WGKJ4acojeE4uk4.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/8,Virtus.pro,wildcard,,13,1,https://www.hltv.org/matches/2370908/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-wildcard-vs-virtuspro-inferno-norx8DdKJD9R1hFM8pob5f.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/9,flyquest,Virtus.pro,,12,12,https://www.hltv.org/matches/2370921/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-flyquest-vs-virtuspro-bo3-eedOzUtwqOsLkzfOhpep_r.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/10,flyquest,nemiga,,12,12,https://www.hltv.org/matches/2370923/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-flyquest-vs-nemiga-bo3-USesJ2H32Xwl0eK0l6gYPD.rar,Y,,,
IEM Chengdu 2024,Main/Playoffs,2024/4/13,Astralis,FaZe,,7,13,https://www.hltv.org/matches/2370930/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Chengdu,iem-chengdu-2024-astralis-vs-faze-bo3-6olLictlFt5IKY_IO-7a67.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/5/28,G2,MOUZ,,13,8,https://www.hltv.org/matches/2372338/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-g2-vs-mouz-bo3-O1BgM30a6fWPjk5gU5VUnX.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/5/29,G2,tl,,13,8,https://www.hltv.org/matches/2372342/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-g2-vs-liquid-bo3-zQObRsO8eGJZanFcwx6INZ.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/5/28,FaZe,Virtus.pro,,12,12,https://www.hltv.org/matches/2372334/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-faze-vs-virtuspro-bo3-oxWJtqd6D1sTTpWBkHdUnP.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/5/29,Virtus.pro,BIG,,5,13,https://www.hltv.org/matches/2372341/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-virtuspro-vs-big-bo3-iNJygOnxyHMLcZ0aB_CRym.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/6/1,9z,G2,,11,13,https://www.hltv.org/matches/2372348/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-9z-vs-g2-bo3-qQobcxICS3EOUCdbt0KEsp.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/6/2,G2,Vitality,,12,12,https://www.hltv.org/matches/2372350/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,iem-dallas-2024-g2-vs-vitality-bo3-9xgjzv02H7STLQ13d77dJL.rar,Y,,,
IEM Dallas 2024,Main/Playoffs,2024/6/2,team north america,team iem veterans,,12,12,https://www.hltv.org/matches/2372663/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Dallas,"","",,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/12,FaZe,saw,,13,5,https://www.hltv.org/matches/2372734/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-faze-vs-saw-bo3-ESSTYxFkvaG2Ij-q_tbYfk.rar,Y,,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/13,saw,Astralis,,3,13,https://www.hltv.org/matches/2372737/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-saw-vs-astralis-bo3-CVFySu5vH0SDxuYWfQA4dZ.rar,Y,,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/12,Vitality,Virtus.pro,,13,5,https://www.hltv.org/matches/2372738/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-vitality-vs-virtuspro-bo3-XYGQpZFqp_2Cviy1kmkwv9.rar,Y,,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/13,Vitality,G2,,13,4,https://www.hltv.org/matches/2372740/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-vitality-vs-g2-bo3-07R4CPOHu_IwXUW--CcGcf.rar,Y,,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/14,Virtus.pro,Astralis,,13,8,https://www.hltv.org/matches/2372743/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-astralis-vs-virtuspro-bo3-MPKVFectLYZpY_brKJhH1s.rar,Y,,,
BLAST Premier Spring Final 2024,Main/Playoffs,2024/6/14,FaZe,Vitality,,13,4,https://www.hltv.org/matches/2372742/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring,blast-premier-spring-final-2024-faze-vs-vitality-bo3-lQLvdLlJcL7dI4fNDLSZOX.rar,Y,,,
BLAST Premier Spring Final 2024,Groups,2024/1/22,Vitality,og,,13,7,https://www.hltv.org/matches/2368862/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,blast-premier-spring-groups-2024-vitality-vs-og-bo3-lT05HKwaUbDRDbtCBvj4ex.rar,Y,,,
BLAST Premier Spring Final 2024,Groups,2024/1/27,Astralis,Vitality,,13,10,https://www.hltv.org/matches/2368867/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,blast-premier-spring-groups-2024-astralis-vs-vitality-bo3-UVXuhGRpS9h-3nbFLvdUIa.rar,Y,,,
BLAST Premier Spring Final 2024,Groups,2024/1/26,GamerLegion,FaZe,,5,13,https://www.hltv.org/matches/2368872/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,blast-premier-spring-groups-2024-gamerlegion-vs-faze-bo3-0R-skvX2qTBESZVM21Uryv.rar,Y,,,
BLAST Premier Spring Final 2024,Groups,2024/1/23,G2,Natus Vincere,,13,10,https://www.hltv.org/matches/2368876/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,"","",,,
BLAST Premier Spring Final 2024,Groups,2024/1/27,Natus Vincere,G2,,13,9,https://www.hltv.org/matches/2368879/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,"","",,,
BLAST Premier Spring Final 2024,Groups,2024/1/25,Virtus.pro,Cloud9,,13,9,https://www.hltv.org/matches/2368882/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Spring/Groups,blast-premier-spring-groups-2024-virtuspro-vs-cloud9-bo3-kjls56b-gyvT8fLa5sfyVb.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/7,Complexity,attax,,13,7,https://www.hltv.org/matches/2373994/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-complexity-vs-alternate-attax-bo3-U5jqiT9LNjIPGcX2x3POY5.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/7,FURIA,Imperial,,13,0,https://www.hltv.org/matches/2373998/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-furia-vs-imperial-bo3-AzRg4YRxrmPgr60QrgTpxI.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/7,paiN,tl,,11,13,https://www.hltv.org/matches/2373999/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-pain-vs-liquid-bo3-w2F_XcCakPWm1GQnkqvjuR.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/7,flyquest,BIG,,10,13,https://www.hltv.org/matches/2374000/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-flyquest-vs-big-bo3-QllfMvofl97QbgA1oS4Keo.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/8,BIG,saw,,11,13,https://www.hltv.org/matches/2374266/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-saw-vs-big-bo3-q64YPO2_JNmp3JIBmGoHHH.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/9,Imperial,paiN,,7,13,https://www.hltv.org/matches/2374269/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-play-in-imperial-vs-pain-bo3-JAb_f_C0ivSOFdsdSz62TD.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/10,9z,Astralis,,5,13,https://www.hltv.org/matches/2374301/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-astralis-vs-9z-bo3-AS7fui4v1ndjFkWnWUz0Vk.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/10,G2,saw,,10,13,https://www.hltv.org/matches/2374299/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-g2-vs-saw-bo3-4WeFqoGJvcLF2af87w36b0.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/13,Natus Vincere,saw,,13,6,https://www.hltv.org/matches/2374312/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-natus-vincere-vs-saw-bo3-QcII-D-3_Bn8cyIwl8AGvO.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/11,FURIA,Vitality,,3,13,https://www.hltv.org/matches/2374305/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-vitality-vs-furia-bo3-1g90KpkY6Qdsl_JadUqXZA.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/12,FaZe,Vitality,,13,8,https://www.hltv.org/matches/2374315/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-faze-vs-vitality-bo3-v_pkoMg9hYFaWXdCw9GI3I.rar,Y,,,
IEM Cologne 2024,Main/Playoffs,2024/8/13,FaZe,tl,,13,9,https://www.hltv.org/matches/2374321/-,https://liquipedia.net/counterstrike/Intel_Extreme_Masters/2024/Cologne,iem-cologne-2024-liquid-vs-faze-bo3-8SayW8TDSPn6BZy5N86Je7.rar,Y,,,
