steamid,name,name_variants,team_clan_name,years
76561198833618656,--majky,--majky,SINNERS Esports,2024
76561198146202997,-Lack1,-Lack1,Aurora Gaming,2024
76561198837117408,1eeR,1eeR,Nemiga Gaming,2024
76561199203563345,910,910 | 910-,The MongolZ,"2024,2025"
76561198269361539,AW,AW,PARIVISION,2025
76561198974494129,AZUWU,AZUWU,SAW,2025
76561198013243326,Aleksib,Aleksib,Natus Vincere,"2024,2025"
76561198048266764,Attacker,Attacker,TYLOO,2025
76561198045433304,Ax1Le,Ax1Le,Cloud9,2024
76561198253670517,BELCHONOKK,BELCHONOKK,PARIVISION,2025
76561198146207066,Boombl4,Boombl4,Cloud9,2024
76561198138828475,Brollan,Brollan,MOUZ,"2024,2025"
76561198248953762,Buzz,Buzz,OG,2025
76561198416388144,C4LLM3SU3,C4LLM3SU3,Lynn Vision Gaming,2025
76561198263656468,CacaNito,CacaNito,Apeks,2024
76561198052546265,Calyx,Calyx,Eternal Fire,2024
76561198352656104,ChildKing,ChildKing,Rare Atom,2024
76561198292598811,Chr1zN,Chr1zN,OG,2025
76561198171719689,Cxzi,Cxzi,Complexity,2025
76561198047876970,Djoko,Djoko,3DMAX,2025
76561198066693739,EliGE,EliGE,FaZe Clan,"2024,2025"
76561198816731401,EmiliaQAQ,EmiliaQAQ,Lynn Vision Gaming,"2024,2025"
76561198168198200,Ex3rcice,Ex3rcice,3DMAX,2025
76561198252434500,F1KU,F1KU,OG,"2024,2025"
76561197995817501,FL1T,FL1T,Virtus.pro,"2024,2025"
76561198014259134,FL4MUS,FL4MUS,Virtus.pro,"2024,2025"
76561197960690195,FalleN,FalleN,FURIA,"2024,2025"
76561198027348753,Forester,Forester,AMKAL ESPORTS,2024
76561198179538505,Graviti,Graviti,3DMAX,2025
76561198191236195,Grim,Grim,Complexity,"2024,2025"
76561198018027263,HEN1,HEN1,Imperial Esports,2024
76561198028292758,HObbit,HObbit,Cloud9,2024
76561198319723208,HUASOPEEK,HUASOPEEK,9z Globant,2024
76561198068002993,HeavyGoD,HeavyGod | HeavyGoD,G2 Esports,"2024,2025"
76561198210934463,HexT,HexT,M80,2025
76561197998926770,HooXi,HooXi,G2 Esports,"2024,2025"
76561198055109028,ICY,ICY,Virtus.pro,"2024,2025"
76561197987212623,INS,INS,FlyQuest,"2024,2025"
76561197972242917,JACKZ,JACKZ,Vitality,2024
76561198184153575,JBa,JBa,Wildcard,"2024,2025"
76561198078771373,JDC,JDC,BIG,"2024,2025"
76561198021715100,JT,JT,Complexity,"2024,2025"
76561198364937038,JamYoung,JamYoung,TYLOO,2025
76561198036125584,Jame,Jame,Virtus.Pro,"2024,2025"
76561198360407641,Jee,Jee,TYLOO,"2024,2025"
76561198353869335,Jeorge,Jeorge,NRG,2025
76561198855375325,Jimpphat,Jimpphat,MOUZ,"2024,2025"
76561198400646282,KENSI1337,KENSI1337,Aurora Gaming,2024
76561198031651584,KRiMZ,KRiMZ,Fnatic,"2024,2025"
76561198058500492,KSCERATO,KSCERATO,FURIA,"2024,2025"
76561198098344244,Keoz,Keoz,GamerLegion,2024
76561198031908632,Krad,Krad,AMKAL ESPORTS,2024
