steamid,name,team,name_variants,n_demos,has_any_year_stats
76561198164970560,yuurih,FURIA,yuurih,7,true
76561198310561479,PR,GamerLegion,PR,7,true
76561198134401925,YEKINDAR,FURIA,YEKINDAR,7,true
76561198316706174,Tauson,GamerLegion,Tauson,7,true
76561198034172415,REZ,GamerLegion,REZ,7,true
76561198254686734,hypex,GamerLegion,hypex,7,false
76561198074762801,m0NESY,Team Falcons,m0NESY,7,true
76561199032006224,kyousuke,Team Falcons,kyousuke,7,true
76561198041683378,NiKo,Team Falcons,NiKo,7,true
76561197996678278,TeSeS,Team Falcons,TeSeS,7,true
76561197982141573,Snax,GamerLegion,Snax,7,true
76561198058500492,KSCERATO,FURIA,KSCERATO,7,true
76561197960690195,FalleN,FURIA,FalleN,7,true
76561198200982290,molodoy,FURIA,molodoy,7,true
76561198050250233,iM,Natus Vincere,iM,6,true
76561199063068840,w0nderful,Natus Vincere,w0nderful,6,true
76561198013243326,Aleksib,Natus Vincere,Aleksib,6,true
76561199076189612,makazze,Natus Vincere,makazze,6,true
76561198246607476,b1t,Natus Vincere,b1t,6,true
76561198113666193,ZywOo,Team Vitality,ZywOo,5,true
76561198138828475,Brollan,MOUZ,Brollan,5,true
76561198063336407,Spinx,MOUZ,Spinx,5,true
76561198193174134,xertioN,MOUZ,xertioN,5,true
76561198100494962,saadzin,Legacy,saadzin,5,true
76561198850020186,latto,Legacy,latto,5,true
76561198194325317,dumau,Legacy,dumau,5,true
76561197978835160,flameZ,Team Vitality,flameZ,5,true
76561197991272318,ropz,Team Vitality,ropz,5,true
76561198043769572,arT,Legacy,arT,5,true
76561197973140692,mezii,Team Vitality,mezii,5,true
76561198355739212,torzsi,MOUZ,torzsi,5,true
76561198061763596,n1ssim,Legacy,n1ssim,5,true
76561197989744167,apEX,Team Vitality,apEX,5,true
76561198210626739,zweih,PARIVISION,zweih,4,false
76561198253670517,BELCHONOKK,PARIVISION,BELCHONOKK,4,true
76561198036125584,Jame,PARIVISION,Jame,4,true
76561197989430253,karrigan,Team Falcons,karrigan,4,true
76561198141272052,xiELO,PARIVISION,xiELO,4,true
76561198975070027,nota,PARIVISION,nota,4,true
76561198319723208,HUASOPEEK,9z,HUASOPEEK,3,true
76561198959824088,bLitz,The MongolZ,bLitz,3,true
76561199203563345,910,The MongolZ,910|910-,3,true
76561198242950384,max,9z,max,3,true
76561198057282432,kyxsan,Team Falcons,kyxsan,3,true
76561198855375325,Jimpphat,MOUZ,Jimpphat,3,true
76561198138113790,Rainwaker,Monte,Rainwaker,3,false
76561198966340160,Techno4K,The MongolZ,Techno4K,3,true
76561198344226986,Gizmy,Monte,Gizmy,3,false
76561198093386355,Bymas,Monte,Bymas,3,false
76561198838822582,Mzinho,The MongolZ,Mzinho,3,true
76561198216891576,dgt,9z,dgt,3,true
76561198067722198,luchov,9z,luchov,3,false
76561199430871803,cobrazera,The MongolZ,cobrazera,3,false
76561198974494129,AZUWU,Monte,AZUWU,3,true
76561198195642865,meyern,9z,meyern,3,false
76561198035581101,afro,Monte,afro,3,false
76561198408199043,phzy,Astralis,phzy,2,true
76561198305036904,npl,B8 Esports,npl,2,true
76561198382173659,kensizor,B8 Esports,kensizor,2,true
76561198327068178,soulfly,Aurora Gaming,soulfly,2,false
76561198309839541,SunPayus,G2 Esports,SunPayus,2,true
76561197998926770,HooXi,Astralis,HooXi,2,true
76561198053126645,NertZ,G2 Esports,NertZ,2,true
76561197967432889,MAJ3R,Aurora Gaming,MAJ3R,2,true
76561198120557348,jabbi,Astralis,jabbi,2,true
76561198168401372,ryu,Astralis,ryu,2,false
76561198005107817,Staehr,Astralis,Staehr,2,true
76561198012872053,huNter-,G2 Esports,huNter-,2,true
76561198304115519,alex666,B8 Esports,alex666,2,true
76561199001538362,s1zzi,B8 Esports,s1zzi,2,false
76561199149812353,esenthial,B8 Esports,esenthial,2,true
76561198998266210,xelex,MOUZ,xelex,2,true
76561199046478501,MATYS,G2 Esports,MATYS,2,true
76561198083485506,woxic,Aurora Gaming,woxic,2,true
76561198068002993,HeavyGod,G2 Esports,HeavyGod,2,true
76561198044118796,XANTARES,Aurora Gaming,XANTARES,2,true
76561198812513923,Wicadia,Aurora Gaming,Wicadia,2,true
76561198015308884,biguzera,paiN Gaming,biguzera,1,true
76561198377335846,snow,paiN Gaming,snow,1,true
76561198396338183,piriajr,paiN Gaming,piriajr,1,false
76561197985565685,saffee,paiN Gaming,saffee,1,true
76561198011732823,v$m,paiN Gaming,v$m,1,false
