steamid,name,team,name_variants,n_demos,has_any_year_stats,has_2024
76561198254686734,hypex,GamerLegion,hypex,7,false,false
76561198043769572,arT,Legacy,arT,5,true,true
76561198210626739,zweih,PARIVISION,zweih,4,false,false
76561198319723208,HUASOPEEK,9z,HUASOPEEK,3,true,true
76561198242950384,max,9z,max,3,true,true
76561198138113790,Rainwaker,Monte,Rainwaker,3,false,false
76561198344226986,Gizmy,Monte,Gizmy,3,false,false
76561198093386355,Bymas,Monte,Bymas,3,false,false
76561198067722198,luchov,9z,luchov,3,false,false
76561199430871803,cobrazera,The MongolZ,cobrazera,3,false,false
76561198195642865,meyern,9z,meyern,3,false,false
76561198035581101,afro,Monte,afro,3,false,false
76561198327068178,soulfly,Aurora Gaming,soulfly,2,false,false
76561198168401372,ryu,Astralis,ryu,2,false,false
76561199001538362,s1zzi,B8 Esports,s1zzi,2,false,false
76561198396338183,piriajr,paiN Gaming,piriajr,1,false,false
76561198011732823,v$m,paiN Gaming,v$m,1,false,false
