hltv_name,year,rating_ct,rating_t,adr,kast,firepower_ct,firepower_t,entrying_ct,entrying_t,trading_ct,trading_t,opening_ct,opening_t,sniping,utility,found,steamid,clutching
frozen,2025,1.19,1.15,81.0,75.0,79,72,45,34,61,73,55,40,0,63,yes,76561198068422762,75
JBa,2025,1.12,1.14,76.5,75.0,65,74,49,64,55,81,32,36,0,40,yes,76561198184153575,62
SOMEBODY,2024,0.98,1.08,75.9,70.3,53,75,38,54,39,24,41,57,4,57,yes,76561198045397601,66
FL4MUS,2024,1.07,1.15,80.4,71.4,75,81,63,48,48,36,79,81,0,45,yes,76561198014259134,42
sl3nd,2024,1.1,1.1,76.1,75.1,73,60,29,25,55,51,64,33,92,75,yes,76561198098071693,75
Wicadia,2025,1.11,1.15,80.7,71.8,85,81,52,69,32,52,70,49,4,31,yes,76561198812513923,51
max,2024,1.01,0.99,74.6,70.9,58,35,46,58,29,17,66,78,0,67,yes,76561198242950384,30
dumau,2025,1.13,1.09,80.5,73.9,83,66,48,44,39,47,79,83,0,74,yes,76561198194325317,36
yuurih,2025,1.03,1.12,75.5,76.2,41,63,38,49,50,80,27,28,0,64,yes,76561198164970560,41
nexa,2024,1.0,0.98,68.0,72.1,32,31,48,52,61,73,15,15,0,56,yes,76561197999825422,50
npl,2025,1.13,1.14,80.4,74.2,85,70,78,66,73,75,70,49,0,42,yes,76561198305036904,56
n1ssim,2025,1.0,1.05,69.4,72.7,28,39,25,26,20,42,42,25,1,39,yes,76561198061763596,56
saffee,2025,0.98,0.9,65.7,69.2,40,18,37,24,43,51,70,26,90,58,yes,76561197985565685,73
Cxzi,2025,0.99,1.09,78.2,71.8,59,69,39,67,23,35,67,73,0,68,yes,76561198171719689,30
Techno4K,2024,1.05,1.08,73.0,72.3,45,57,40,55,22,32,29,62,0,38,yes,76561198966340160,53
Staehr,2024,1.05,1.05,73.6,72.4,47,44,30,45,30,41,33,80,0,78,yes,76561198005107817,35
saffee,2024,1.02,1.02,69.0,72.4,50,33,38,40,49,66,63,30,77,62,yes,76561197985565685,65
ropz,2025,1.14,1.18,78.6,76.2,81,72,29,13,43,65,63,44,3,22,yes,76561197991272318,65
siuhy,2025,0.89,0.87,64.2,67.3,16,10,48,69,41,32,42,58,0,79,yes,76561198150673360,29
r1nkle,2024,1.05,1.04,72.4,71.3,67,53,24,23,55,65,86,51,93,53,yes,76561198294381090,72
Stewie2K,2024,0.9,0.78,64.0,68.3,33,4,79,85,12,43,62,69,15,68,yes,76561197999004010,30
volt,2024,0.99,1.01,68.7,72.6,29,35,60,58,69,77,25,26,0,49,yes,76561198155754447,41
Lucaozy,2024,1.1,1.12,82.1,73.9,81,80,48,30,58,36,71,76,0,45,yes,76561198157388473,34
jackasmo,2025,0.97,1.02,71.5,70.9,43,43,46,48,51,59,21,25,0,79,yes,76561198446445284,41
r1nkle,2025,1.13,1.14,78.9,74.3,83,78,14,26,51,84,87,49,85,52,yes,76561198294381090,63
jabbi,2025,1.06,1.02,71.5,71.3,58,41,47,51,50,34,54,42,0,47,yes,76561198120557348,42
felps,2024,1.1,1.06,81.5,71.3,85,70,58,47,36,21,83,82,1,43,yes,76561197983031494,36
NAF,2025,1.01,1.02,73.5,72.7,41,40,45,25,35,58,27,17,1,60,yes,76561198001151695,64
NertZ,2025,1.03,1.07,77.1,70.0,64,59,46,38,35,49,71,77,0,61,yes,76561198053126645,43
Jimpphat,2025,1.02,1.07,70.9,75.4,32,46,61,38,43,75,27,15,0,28,yes,76561198855375325,59
phzy,2025,1.13,1.17,77.0,73.9,81,67,28,27,46,58,77,36,88,68,yes,76561198408199043,84
F1KU,2025,1.09,1.11,76.1,74.1,65,64,65,79,41,58,50,50,0,65,yes,76561198252434500,55
fEAR,2024,1.01,1.04,73.9,74.0,48,50,60,53,59,52,47,44,0,77,yes,76561198132026180,63
latto,2025,1.17,1.19,79.1,76.2,72,77,44,45,51,65,40,34,0,75,yes,76561198850020186,51
SHOCK--,2024,1.05,1.13,73.4,71.7,42,61,22,36,17,41,42,40,3,44,yes,76561198169560297,68
decenty,2024,1.09,1.11,77.0,73.6,69,74,39,15,67,64,41,37,2,18,yes,76561198307171910,54
Starry,2024,1.17,1.11,82.0,74.7,82,84,70,42,69,74,76,72,1,70,yes,76561198880299543,62
Qikert,2025,1.01,1.03,70.1,73.3,41,31,71,64,62,48,55,51,0,76,yes,76561198127236290,45
susp,2025,1.08,1.07,78.2,71.6,71,56,47,82,38,64,84,78,0,35,yes,76561198342718168,31
malbsMd,2025,1.02,1.1,78.1,71.0,67,63,49,85,30,56,84,86,0,59,yes,76561198080703143,33
regali,2024,1.16,1.13,75.3,75.9,79,74,30,29,76,84,73,26,92,53,yes,76561198098463229,73
MATYS,2025,1.12,1.18,80.1,73.3,81,79,77,70,59,60,55,70,0,49,yes,76561199046478501,34
jL,2024,1.11,1.16,78.5,73.9,64,78,45,57,59,53,50,70,0,47,yes,76561198176878303,64
nqz,2024,1.16,1.08,71.8,75.4,70,40,27,17,51,77,70,29,92,58,yes,76561198350342505,65
ewjerkz,2024,1.11,1.2,80.8,73.6,65,80,65,75,36,47,67,87,0,63,yes,76561198262460262,32
KRiMZ,2025,1.02,1.01,69.0,73.4,29,27,47,29,51,59,33,30,0,63,yes,76561198031651584,55
Jeorge,2025,1.12,1.17,79.6,74.9,66,78,57,76,44,62,46,55,0,70,yes,76561198353869335,58
Mercury,2025,1.06,1.03,75.2,73.9,68,43,74,64,62,61,59,33,0,64,yes,76561198108796479,46
FalleN,2024,1.02,0.96,65.3,70.2,50,21,43,39,23,52,85,24,92,61,yes,76561197960690195,56
HeavyGoD,2025,1.1,1.2,77.0,76.0,54,74,45,47,37,73,34,37,0,55,yes,76561198068002993,70
