steamid,year,team_canonical
76561197960690195,2024,FURIA
76561197961491680,2024,BIG
76561197962148507,2024,amkal esports
76561197967432889,2024,Eternal Fire
76561197971316261,2024,Wildcard Gaming
76561197972242917,2024,Team Vitality
76561197973140692,2024,Team Vitality
76561197973757802,2024,SAW
76561197975129851,2024,Wildcard Gaming
76561197976393269,2024,Fnatic
76561197977105184,2024,Team Liquid
76561197978835160,2024,Team Vitality
76561197980122997,2024,BIG
76561197981849043,2024,Wildcard Gaming
76561197982141573,2024,FaZe Clan
76561197983031494,2024,IMPERIAL
76561197985565685,2024,FlyQuest
76561197987212623,2024,FlyQuest
76561197987260907,2024,M80
76561197987713664,2024,Astralis
76561197989430253,2024,FaZe Clan
76561197989744167,2024,Team Vitality
76561197991272318,2024,FaZe Clan
76561197994395491,2024,SAW
76561197995817501,2024,Virtus.pro
76561197996370184,2024,Complexity Gaming
76561197997351207,2024,FaZe Clan
76561197997981170,2024,SAW
76561197998926770,2024,G2 Esports
76561197999004010,2024,G2 Esports
76561197999825422,2024,G2 Esports
76561198000827804,2024,Virtus.pro
76561198000984547,2024,Ninjas in Pyjamas
76561198001151695,2024,Team Liquid
76561198002708642,2024,Apeks
76561198002942763,2024,GamerLegion
76561198004115516,2024,Astralis
76561198005107817,2024,Astralis
76561198010496342,2024,FlyQuest
76561198012872053,2024,G2 Esports
76561198013230247,2024,Fnatic
76561198013243326,2024,Natus Vincere
76561198013295375,2024,3DMAX
76561198014259134,2024,Nemiga Gaming
76561198015308884,2024,paiN Gaming
76561198016194159,2024,Apeks
76561198016255205,2024,Team Liquid
76561198016432560,2024,BIG
76561198018027263,2024,IMPERIAL
76561198019990506,2024,ECSTATIC
76561198020474058,2024,Wildcard Gaming
76561198021715100,2024,Complexity Gaming
76561198022365638,2024,Astralis
76561198027348753,2024,amkal esports
76561198028292758,2024,Cloud9
76561198028458803,2024,Astralis
76561198028656944,2024,Rooster
76561198030545997,2024,ECSTATIC
76561198031651584,2024,Fnatic
76561198031890115,2024,3DMAX
76561198031908632,2024,amkal esports
76561198033438750,2024,SINNERS Esports
76561198034172415,2024,Ninjas in Pyjamas
76561198036125584,2024,Virtus.pro
76561198036884160,2024,Legacy
76561198039986599,2024,Legacy
76561198041683378,2024,G2 Esports
76561198043769572,2024,FURIA
76561198044045107,2024,Virtus.pro
76561198044118796,2024,Eternal Fire
76561198045397601,2024,Fnatic
76561198045433304,2024,Cloud9
76561198045739761,2024,3DMAX
76561198047198945,2024,ECSTATIC
76561198047876970,2024,3DMAX
76561198050250233,2024,Natus Vincere
76561198051727799,2024,SINNERS Esports
76561198052546265,2024,Eternal Fire
76561198052888143,2024,FlyQuest
76561198053126645,2024,Team Liquid
76561198055109028,2024,Cloud9
76561198058500492,2024,FURIA
76561198060367310,2024,Complexity Gaming
76561198060483793,2024,Astralis
76561198061423730,2024,FlyQuest
76561198061763596,2024,paiN Gaming
76561198061801241,2024,FlyQuest
76561198063336407,2024,Team Vitality
76561198064353169,2024,M80
76561198065448360,2024,SAW
76561198066693739,2024,Complexity Gaming
76561198067763828,2024,FURIA
76561198068002993,2024,Cloud9
76561198068422762,2024,FaZe Clan
76561198070876270,2024,ECSTATIC
76561198071910365,2024,Ninjas in Pyjamas
76561198072321716,2024,FlyQuest
76561198074017668,2024,FlyQuest
76561198074762801,2024,G2 Esports
76561198078771373,2024,BIG
76561198080114546,2024,Virtus.pro
76561198080703143,2024,G2 Esports
76561198083485506,2024,FaZe Clan
76561198095793955,2024,Bad News Eagles
76561198098071693,2024,GamerLegion
76561198098344244,2024,GamerLegion
76561198098346710,2024,FlyQuest
76561198098463229,2024,FlyQuest
76561198100494962,2024,Legacy
76561198102263776,2024,ECSTATIC
76561198107240040,2024,Lynn Vision Gaming
76561198113666193,2024,Team Vitality
76561198118646644,2024,FURIA
76561198120491311,2024,paiN Gaming
76561198120557348,2024,Astralis
76561198121220486,2024,Cloud9
76561198130084582,2024,Legacy
76561198131690816,2024,SINNERS Esports
76561198132026180,2024,Passion UA
76561198134401925,2024,Team Liquid
76561198137783463,2024,Lynn Vision Gaming
76561198138828475,2024,MOUZ
76561198139604328,2024,BIG
76561198144926364,2024,BIG
76561198146202997,2024,Aurora Gaming
76561198146207066,2024,Cloud9
76561198150673360,2024,Team Liquid
76561198152378187,2024,Bad News Eagles
76561198153580037,2024,Wildcard Gaming
76561198153651861,2024,Apeks
76561198154904607,2024,Aurora Gaming
76561198155754447,2024,GamerLegion
76561198157388473,2024,MIBR
76561198158971650,2024,Rooster
76561198163780030,2024,Rooster
76561198164970560,2024,FURIA
76561198165327895,2024,Bad News Eagles
76561198168198200,2024,3DMAX
76561198168694063,2024,ALTERNATE aTTaX
76561198169560297,2024,SINNERS Esports
76561198170578957,2024,OG
76561198170631091,2024,BIG
76561198172837021,2024,BIG
76561198176878303,2024,Natus Vincere
76561198178801031,2024,BIG
76561198179538505,2024,3DMAX
76561198182462587,2024,OG
76561198183003671,2024,M80
76561198184153575,2024,Team Liquid
76561198190463461,2024,BIG
76561198191236195,2024,Complexity Gaming
76561198192927541,2024,Apeks
76561198193174134,2024,MOUZ
76561198194325317,2024,Legacy
76561198198570973,2024,ALTERNATE aTTaX
76561198199343350,2024,9z
76561198201462870,2024,Rebels Gaming
76561198201620490,2024,FaZe Clan
76561198208074320,2024,Cloud9
76561198216891576,2024,9z
76561198219516767,2024,ALTERNATE aTTaX
76561198222442504,2024,Virtus.pro
76561198234835452,2024,Bad News Eagles
76561198242950384,2024,9z
76561198246607476,2024,Natus Vincere
76561198252434500,2024,OG
76561198252742076,2024,Rebels Gaming
76561198259727379,2024,ALTERNATE aTTaX
76561198262460262,2024,SAW
76561198263656468,2024,Apeks
76561198283989223,2024,Team Liquid
76561198287546191,2024,Aurora Gaming
76561198294381090,2024,Ninjas in Pyjamas
76561198306519263,2024,Complexity Gaming
76561198307171910,2024,Complexity Gaming
76561198310561479,2024,GamerLegion
76561198316706174,2024,GamerLegion
76561198319723208,2024,9z
76561198332845251,2024,Rooster
76561198334814829,2024,M80
76561198342718168,2024,Team Liquid
76561198350342505,2024,paiN Gaming
76561198350362302,2024,Aurora Gaming
76561198350606449,2024,GamerLegion
76561198352656104,2024,Fnatic
76561198355739212,2024,MOUZ
76561198360407641,2024,Lynn Vision Gaming
76561198362970723,2024,amkal esports
76561198365118288,2024,IMPERIAL
76561198370086461,2024,9z
76561198377335846,2024,paiN Gaming
76561198380323585,2024,Rebels Gaming
76561198385657675,2024,paiN Gaming
76561198388056582,2024,FlyQuest
76561198400646282,2024,Aurora Gaming
76561198408199043,2024,Team Liquid
76561198412400644,2024,Rebels Gaming
76561198446445284,2024,Passion UA
76561198800209567,2024,IMPERIAL
76561198800253526,2024,Passion UA
76561198811869293,2024,SINNERS Esports
76561198812513923,2024,FaZe Clan
76561198816731401,2024,Lynn Vision Gaming
76561198833618656,2024,SINNERS Esports
76561198837117408,2024,Nemiga Gaming
76561198838822582,2024,The MongolZ
76561198839305865,2024,Nemiga Gaming
76561198850020186,2024,Legacy
76561198855375325,2024,MOUZ
76561198880299543,2024,Lynn Vision Gaming
76561198883522068,2024,Rebels Gaming
76561198889240025,2024,Nemiga Gaming
76561198920720017,2024,The MongolZ
76561198951467648,2024,Nemiga Gaming
76561198959824088,2024,The MongolZ
76561198964042711,2024,Passion UA
76561198966340160,2024,G2 Esports
76561199009468655,2024,GamerLegion
76561199016206318,2024,Rare Atom
76561199046478501,2024,Fnatic
76561199063068840,2024,Natus Vincere
76561199076189612,2024,Natus Vincere
76561199121088563,2024,Passion UA
76561199132217533,2024,Ninjas in Pyjamas
76561199203563345,2024,G2 Esports
76561199473233164,2024,Rooster
76561197960690195,2025,FURIA
76561197961491680,2025,BIG
76561197967432889,2025,3DMAX
76561197973140692,2025,Team Vitality
76561197975129851,2025,Wildcard Gaming
76561197977105184,2025,B8 Esports
76561197978835160,2025,Team Vitality
76561197981849043,2025,Wildcard Gaming
76561197982141573,2025,G2 Esports
76561197983956651,2025,Team Falcons
76561197985565685,2025,3DMAX
76561197987212623,2025,FlyQuest
76561197987713664,2025,B8 Esports
76561197989423065,2025,Ninjas in Pyjamas
76561197989430253,2025,FaZe Clan
76561197989744167,2025,Team Vitality
76561197991272318,2025,Team Vitality
76561197994395491,2025,SAW
76561197995817501,2025,Virtus.pro
76561197995889730,2025,NRG
76561197996370184,2025,IMPERIAL
76561197996678278,2025,Team Falcons
76561197997351207,2025,FaZe Clan
76561197997981170,2025,SAW
76561197998926770,2025,Astralis
76561198001151695,2025,Team Liquid
76561198002942763,2025,GamerLegion
76561198004115516,2025,BIG
76561198005107817,2025,Astralis
76561198010496342,2025,3DMAX
76561198012872053,2025,G2 Esports
76561198013243326,2025,Natus Vincere
76561198013295375,2025,Eternal Fire
76561198014259134,2025,Virtus.pro
76561198015308884,2025,paiN Gaming
76561198016255205,2025,FaZe Clan
76561198021715100,2025,Complexity Gaming
76561198022365638,2025,Astralis
76561198026724513,2025,Complexity Gaming
76561198028458803,2025,Fnatic
76561198031651584,2025,Fnatic
76561198031890115,2025,3DMAX
76561198034172415,2025,GamerLegion
76561198034202275,2025,FaZe Clan
76561198036125584,2025,PARIVISION
76561198041683378,2025,Team Falcons
76561198044045107,2025,Virtus.pro
76561198044118796,2025,Eternal Fire
76561198045739761,2025,3DMAX
76561198047472534,2025,NRG
76561198047876970,2025,3DMAX
76561198048266764,2025,TYLOO
76561198050250233,2025,3DMAX
76561198050922008,2025,G2 Esports
76561198052888143,2025,FlyQuest
76561198053126645,2025,Team Liquid
76561198055109028,2025,Virtus.pro
76561198057282432,2025,Team Falcons
76561198058500492,2025,paiN Gaming
76561198060367310,2025,Complexity Gaming
76561198060483793,2025,NRG
76561198061423730,2025,3DMAX
76561198061763596,2025,Legacy
76561198061801241,2025,FlyQuest
76561198063336407,2025,MOUZ
76561198064353169,2025,M80
76561198065448360,2025,Complexity Gaming
76561198066693739,2025,Astralis
76561198067763828,2025,FURIA
76561198068002993,2025,G2 Esports
76561198068422762,2025,FaZe Clan
76561198072321716,2025,FlyQuest
76561198073117127,2025,OG
76561198074017668,2025,Legacy
76561198074762801,2025,Team Falcons
76561198078771373,2025,BIG
76561198079183361,2025,OG
76561198080114546,2025,Virtus.pro
76561198080449500,2025,SAW
76561198080703143,2025,G2 Esports
76561198083485506,2025,Eternal Fire
76561198098071693,2025,GamerLegion
76561198098463229,2025,FlyQuest
76561198100494962,2025,Legacy
76561198107240040,2025,Lynn Vision Gaming
76561198108796479,2025,TYLOO
76561198113666193,2025,Team Vitality
76561198118646644,2025,FURIA
76561198120491311,2025,paiN Gaming
76561198120557348,2025,Astralis
76561198121220486,2025,Virtus.pro
76561198125068631,2025,MIBR
76561198127236290,2025,MIBR
76561198132026180,2025,Fnatic
76561198134401925,2025,paiN Gaming
76561198137783463,2025,Lynn Vision Gaming
76561198138828475,2025,MOUZ
76561198139604328,2025,BIG
76561198141272052,2025,PARIVISION
76561198144926364,2025,BIG
76561198150673360,2025,Team Liquid
76561198157388473,2025,3DMAX
76561198160709585,2025,Ninjas in Pyjamas
76561198164970560,2025,paiN Gaming
76561198168198200,2025,3DMAX
76561198170631091,2025,BIG
76561198171719689,2025,Complexity Gaming
76561198176878303,2025,Natus Vincere
76561198178737429,2025,FaZe Clan
76561198179538505,2025,3DMAX
76561198183003671,2025,M80
76561198184153575,2025,Wildcard Gaming
76561198186878873,2025,SAW
76561198190463461,2025,M80
76561198191236195,2025,Complexity Gaming
76561198193174134,2025,MOUZ
76561198194325317,2025,Legacy
76561198200982290,2025,paiN Gaming
76561198201620490,2025,FaZe Clan
76561198210934463,2025,NRG
76561198216891576,2025,paiN Gaming
76561198246607476,2025,3DMAX
76561198248953762,2025,OG
76561198252434500,2025,OG
76561198253670517,2025,PARIVISION
76561198262460262,2025,Ninjas in Pyjamas
76561198269361539,2025,PARIVISION
76561198283989223,2025,Team Liquid
76561198292598811,2025,OG
76561198294381090,2025,Ninjas in Pyjamas
76561198304115519,2025,B8 Esports
76561198305036904,2025,B8 Esports
76561198309839541,2025,G2 Esports
76561198310561479,2025,GamerLegion
76561198316706174,2025,GamerLegion
76561198332845251,2025,FlyQuest
76561198337484196,2025,M80
76561198342718168,2025,Wildcard Gaming
76561198350342505,2025,paiN Gaming
76561198350606449,2025,GamerLegion
76561198353869335,2025,NRG
76561198355197522,2025,TYLOO
76561198355739212,2025,MOUZ
76561198359519930,2025,B8 Esports
76561198360407641,2025,TYLOO
76561198362438171,2025,The MongolZ
76561198362964332,2025,Ninjas in Pyjamas
76561198364937038,2025,3DMAX
76561198365118288,2025,IMPERIAL
76561198377335846,2025,paiN Gaming
76561198382173659,2025,Astralis
76561198385657675,2025,paiN Gaming
76561198388056582,2025,3DMAX
76561198408199043,2025,Wildcard Gaming
76561198410085211,2025,Complexity Gaming
76561198410750263,2025,Eternal Fire
76561198416388144,2025,Lynn Vision Gaming
76561198446445284,2025,Fnatic
76561198799340122,2025,Team Falcons
76561198800209567,2025,IMPERIAL
76561198800253526,2025,Fnatic
76561198812513923,2025,3DMAX
76561198816731401,2025,Lynn Vision Gaming
76561198838822582,2025,The MongolZ
76561198845436666,2025,Passion UA
76561198850020186,2025,Legacy
76561198855375325,2025,MOUZ
76561198855876580,2025,MIBR
76561198880299543,2025,Lynn Vision Gaming
76561198920720017,2025,The MongolZ
76561198959824088,2025,The MongolZ
76561198966340160,2025,The MongolZ
76561198974494129,2025,SAW
76561198975070027,2025,PARIVISION
76561198998266210,2025,MOUZ
76561199009468655,2025,GamerLegion
76561199032006224,2025,Team Falcons
76561199046478501,2025,G2 Esports
76561199063068840,2025,Natus Vincere
76561199076189612,2025,Natus Vincere
76561199149812353,2025,Astralis
76561199203563345,2025,The MongolZ
76561197960690195,2026,FURIA
76561197967432889,2026,Aurora Gaming
76561197973140692,2026,Team Vitality
76561197978835160,2026,Team Vitality
76561197982141573,2026,GamerLegion
76561197985565685,2026,paiN Gaming
76561197989430253,2026,Team Falcons
76561197989744167,2026,Team Vitality
76561197991272318,2026,Team Vitality
76561197996678278,2026,Team Falcons
76561197998926770,2026,GamerLegion
76561198005107817,2026,Astralis
76561198011732823,2026,paiN Gaming
76561198012872053,2026,G2 Esports
76561198013243326,2026,Natus Vincere
76561198015308884,2026,paiN Gaming
76561198034172415,2026,GamerLegion
76561198035581101,2026,Monte
76561198036125584,2026,PARIVISION
76561198041683378,2026,Team Falcons
76561198043769572,2026,Legacy
76561198044118796,2026,Aurora Gaming
76561198050250233,2026,Natus Vincere
76561198053126645,2026,G2 Esports
76561198057282432,2026,Team Falcons
76561198058500492,2026,FURIA
76561198061763596,2026,Legacy
76561198063336407,2026,MOUZ
76561198067722198,2026,9z
76561198068002993,2026,G2 Esports
76561198074762801,2026,Team Falcons
76561198083485506,2026,Aurora Gaming
76561198093386355,2026,Monte
76561198100494962,2026,Legacy
76561198113666193,2026,Team Vitality
76561198120557348,2026,Astralis
76561198134401925,2026,FURIA
76561198138113790,2026,Monte
76561198138828475,2026,MOUZ
76561198141272052,2026,PARIVISION
76561198164970560,2026,FURIA
76561198168401372,2026,Astralis
76561198193174134,2026,MOUZ
76561198194325317,2026,Legacy
76561198195642865,2026,9z
76561198200982290,2026,FURIA
76561198210626739,2026,PARIVISION
76561198216891576,2026,9z
76561198242950384,2026,9z
76561198246607476,2026,Natus Vincere
76561198253670517,2026,PARIVISION
76561198254686734,2026,GamerLegion
76561198304115519,2026,B8 Esports
76561198305036904,2026,B8 Esports
76561198309839541,2026,G2 Esports
76561198310561479,2026,GamerLegion
76561198316706174,2026,GamerLegion
76561198319723208,2026,9z
76561198327068178,2026,Aurora Gaming
76561198344226986,2026,Monte
76561198355739212,2026,MOUZ
76561198377335846,2026,paiN Gaming
76561198382173659,2026,B8 Esports
76561198396338183,2026,paiN Gaming
76561198408199043,2026,Astralis
76561198812513923,2026,Aurora Gaming
76561198838822582,2026,The MongolZ
76561198850020186,2026,Legacy
76561198855375325,2026,MOUZ
76561198959824088,2026,The MongolZ
76561198966340160,2026,The MongolZ
76561198974494129,2026,Monte
76561198975070027,2026,PARIVISION
76561198998266210,2026,MOUZ
76561199001538362,2026,B8 Esports
76561199032006224,2026,Team Falcons
76561199046478501,2026,G2 Esports
76561199063068840,2026,Natus Vincere
76561199076189612,2026,Natus Vincere
76561199149812353,2026,B8 Esports
76561199203563345,2026,The MongolZ
76561199430871803,2026,The MongolZ
76561198011732823,2025,paiN Gaming
76561198035581101,2025,Monte
76561198043769572,2025,Legacy
76561198067722198,2025,9z
76561198093386355,2025,Monte
76561198138113790,2025,Monte
76561198168401372,2025,Astralis
76561198195642865,2025,9z
76561198210626739,2025,PARIVISION
76561198242950384,2025,9z
76561198254686734,2025,GamerLegion
76561198319723208,2025,9z
76561198327068178,2025,Aurora Gaming
76561198344226986,2025,Monte
76561198396338183,2025,paiN Gaming
76561199001538362,2025,B8 Esports
76561199430871803,2025,The MongolZ
