event,stage,series_date,team_a,team_b,inferno_score_a,inferno_score_b,hltv_match_url,liquipedia_page
BLAST Austin Major 2025,Stage 1,2025/6/3,b8,Imperial,13,11,https://www.hltv.org/matches/2382298/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/3,Complexity,fluxo,13,9,https://www.hltv.org/matches/2382349/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/3,b8,og,13,9,https://www.hltv.org/matches/2382345/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/3,wildcard,metizport,13,1,https://www.hltv.org/matches/2382302/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/4,nrg,Complexity,13,9,https://www.hltv.org/matches/2382354/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/4,b8,wildcard,13,2,https://www.hltv.org/matches/2382357/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/5,lvg,chinggis warriors,13,9,https://www.hltv.org/matches/2382364/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/5,Complexity,tyloo,11,13,https://www.hltv.org/matches/2382361/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/5,Imperial,legacy,2,13,https://www.hltv.org/matches/2382362/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/5,flyquest,nemiga,11,13,https://www.hltv.org/matches/2382366/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/6,fq,tyloo,13,10,https://www.hltv.org/matches/2382369/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/6,wildcard,legacy,10,13,https://www.hltv.org/matches/2382368/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Austin Major 2025,Stage 1,2025/6/6,nrg,lvg,8,13,https://www.hltv.org/matches/2382367/-,https://liquipedia.net/counterstrike/BLAST/Major/2025/Austin/Stage_1
BLAST Premier Fall Final 2024,Groups,2024/7/31,G2,Ninjas in Pyjamas,13,11,https://www.hltv.org/matches/2373776/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups
BLAST Premier Fall Final 2024,Groups,2024/8/1,Natus Vincere,Team Liquid,11,13,https://www.hltv.org/matches/2373784/-,https://liquipedia.net/counterstrike/BLAST/Premier/2024/Fall/Groups
