team_canonical,year,hltv_rank,weight
G2 Esports,2024,1,1.0
Natus Vincere,2024,3,0.5
FaZe Clan,2024,4,0.4307
Team Vitality,2024,5,0.3869
MOUZ,2024,6,0.3562
The MongolZ,2024,7,0.3333
Team Liquid,2024,9,0.301
FURIA,2024,10,0.2891
Astralis,2024,11,0.2789
Eternal Fire,2024,12,0.2702
MIBR,2024,13,0.2626
paiN Gaming,2024,14,0.256
3DMAX,2024,15,0.25
Complexity Gaming,2024,16,0.2447
Virtus.pro,2024,17,0.2398
GamerLegion,2024,18,0.2354
Wildcard Gaming,2024,19,0.2314
SAW,2024,20,0.2277
BIG,2024,21,0.2242
M80,2024,22,0.2211
FlyQuest,2024,23,0.2181
IMPERIAL,2024,24,0.2153
Passion UA,2024,25,0.2127
Fnatic,2024,26,0.2103
B8 Esports,2024,27,0.208
Cloud9,2024,28,0.2058
9z,2024,30,0.2018
ALTERNATE aTTaX,2024,35,0.1934
Apeks,2024,35,0.1934
Aurora Gaming,2024,35,0.1934
Bad News Eagles,2024,35,0.1934
ECSTATIC,2024,35,0.1934
Legacy,2024,35,0.1934
Lynn Vision Gaming,2024,35,0.1934
Monte,2024,35,0.1934
NRG,2024,35,0.1934
Nemiga Gaming,2024,35,0.1934
Ninjas in Pyjamas,2024,35,0.1934
OG,2024,35,0.1934
PARIVISION,2024,35,0.1934
Rare Atom,2024,35,0.1934
Rebels Gaming,2024,35,0.1934
Rooster,2024,35,0.1934
SINNERS Esports,2024,35,0.1934
TYLOO,2024,35,0.1934
Team Falcons,2024,35,0.1934
amkal esports,2024,35,0.1934
Team Vitality,2025,1,1.0
FURIA,2025,2,0.6309
Team Falcons,2025,3,0.5
MOUZ,2025,4,0.4307
FaZe Clan,2025,5,0.3869
The MongolZ,2025,6,0.3562
Natus Vincere,2025,7,0.3333
G2 Esports,2025,9,0.301
Aurora Gaming,2025,10,0.2891
B8 Esports,2025,11,0.2789
3DMAX,2025,12,0.2702
paiN Gaming,2025,13,0.2626
Astralis,2025,14,0.256
Team Liquid,2025,15,0.25
Passion UA,2025,16,0.2447
Legacy,2025,17,0.2398
PARIVISION,2025,18,0.2354
SAW,2025,20,0.2277
IMPERIAL,2025,21,0.2242
Virtus.pro,2025,22,0.2211
GamerLegion,2025,23,0.2181
Ninjas in Pyjamas,2025,24,0.2153
M80,2025,25,0.2127
Lynn Vision Gaming,2025,28,0.2058
Fnatic,2025,29,0.2038
FlyQuest,2025,30,0.2018
9z,2025,35,0.1934
ALTERNATE aTTaX,2025,35,0.1934
Apeks,2025,35,0.1934
BIG,2025,35,0.1934
Bad News Eagles,2025,35,0.1934
Cloud9,2025,35,0.1934
Complexity Gaming,2025,35,0.1934
ECSTATIC,2025,35,0.1934
Eternal Fire,2025,35,0.1934
MIBR,2025,35,0.1934
Monte,2025,35,0.1934
NRG,2025,35,0.1934
Nemiga Gaming,2025,35,0.1934
OG,2025,35,0.1934
Rare Atom,2025,35,0.1934
Rebels Gaming,2025,35,0.1934
Rooster,2025,35,0.1934
SINNERS Esports,2025,35,0.1934
TYLOO,2025,35,0.1934
Wildcard Gaming,2025,35,0.1934
amkal esports,2025,35,0.1934
Team Falcons,2026,1,1.0
Team Vitality,2026,2,0.6309
FURIA,2026,4,0.4307
Natus Vincere,2026,5,0.3869
Aurora Gaming,2026,6,0.3562
G2 Esports,2026,7,0.3333
9z,2026,8,0.3155
MOUZ,2026,9,0.301
Legacy,2026,11,0.2789
The MongolZ,2026,12,0.2702
GamerLegion,2026,14,0.256
B8 Esports,2026,15,0.25
Astralis,2026,16,0.2447
Monte,2026,18,0.2354
paiN Gaming,2026,19,0.2314
PARIVISION,2026,20,0.2277
FaZe Clan,2026,21,0.2242
MIBR,2026,22,0.2211
TYLOO,2026,23,0.2181
M80,2026,24,0.2153
Team Liquid,2026,25,0.2127
Ninjas in Pyjamas,2026,26,0.2103
BIG,2026,27,0.208
3DMAX,2026,29,0.2038
ALTERNATE aTTaX,2026,35,0.1934
Apeks,2026,35,0.1934
Bad News Eagles,2026,35,0.1934
Cloud9,2026,35,0.1934
Complexity Gaming,2026,35,0.1934
ECSTATIC,2026,35,0.1934
Eternal Fire,2026,35,0.1934
FlyQuest,2026,35,0.1934
Fnatic,2026,35,0.1934
IMPERIAL,2026,35,0.1934
Lynn Vision Gaming,2026,35,0.1934
NRG,2026,35,0.1934
Nemiga Gaming,2026,35,0.1934
OG,2026,35,0.1934
Passion UA,2026,35,0.1934
Rare Atom,2026,35,0.1934
Rebels Gaming,2026,35,0.1934
Rooster,2026,35,0.1934
SAW,2026,35,0.1934
SINNERS Esports,2026,35,0.1934
Virtus.pro,2026,35,0.1934
Wildcard Gaming,2026,35,0.1934
amkal esports,2026,35,0.1934
