set,model,AUC,logloss,brier,ECE,BSS,cAUC,cal_slope,cal_intercept
A,logreg,0.8465,0.4675,0.1579,0.0192,0.3607,0.5867,0.987,-0.001
A,xgb,0.8443,0.4687,0.1588,0.0181,0.3571,0.5801,0.947,-0.006
A,lgbm,0.8448,0.468,0.1585,0.0174,0.3583,0.5821,0.956,-0.005
A,catboost,0.8448,0.4666,0.1582,0.0157,0.3595,0.5796,1.001,-0.003
A,rf,0.8228,0.5305,0.1718,0.0423,0.3047,0.5435,0.709,-0.042
E,logreg,0.8493,0.4605,0.1564,0.0157,0.367,0.5895,0.97,-0.001
E,xgb,0.8476,0.4618,0.1569,0.0121,0.3649,0.5854,0.968,-0.004
E,lgbm,0.8479,0.4616,0.1568,0.0138,0.3653,0.5862,0.975,-0.004
E,catboost,0.8478,0.4616,0.1567,0.0113,0.3657,0.59,1.017,-0.002
E,rf,0.8426,0.4747,0.1596,0.0109,0.3538,0.5854,0.971,-0.002
EB2,logreg,0.8508,0.4575,0.1556,0.0153,0.3702,0.5963,0.967,-0.001
EB2,xgb,0.8489,0.4586,0.1561,0.0139,0.3681,0.5861,0.97,-0.002
EB2,lgbm,0.8493,0.4585,0.156,0.0128,0.3687,0.5898,0.976,-0.005
EB2,catboost,0.8491,0.459,0.156,0.0134,0.3685,0.5881,1.024,-0.001
EB2,rf,0.8446,0.4684,0.1585,0.0097,0.3583,0.5893,0.978,0.005
EFB2,logreg,0.8519,0.4554,0.155,0.0161,0.3726,0.6033,0.951,-0.004
EFB2,xgb,0.848,0.4601,0.1566,0.0191,0.366,0.5889,0.971,-0.006
EFB2,lgbm,0.8479,0.4602,0.1566,0.0177,0.366,0.589,0.975,-0.003
EFB2,catboost,0.8465,0.4627,0.1573,0.0147,0.3633,0.5842,1.02,0.008
EFB2,rf,0.8446,0.4661,0.1581,0.0139,0.36,0.5793,1.033,0.005
