rung,model,n_features,cv_auc,cv_cauc,cv_logloss,cv_brier,oot_auc,oot_cauc,oot_logloss,oot_brier
EB2 (no FP),logreg,72,0.8507886581568492,0.5963083118897187,0.4575442658206001,0.15557015373072974,0.8473853235066656,0.6551456925499738,0.46637734766791755,0.15830222312656342
EB2 (no FP),xgb,72,0.8493196552056881,0.5861655456781515,0.45813143823149327,0.15586687293137233,0.8497589932931972,0.6277965720380292,0.4628435969352722,0.1570349484682083
EB2 (no FP),lgbm,72,0.849315511829161,0.5898130474317658,0.4584519810202405,0.15595374969202455,0.8500679260450109,0.6369160386412684,0.4625014012318385,0.15684353250838456
EB2 (no FP),catboost,72,0.8490595605402196,0.588385387690012,0.4589320962460017,0.15597009327739886,0.8481655447829041,0.649823399813505,0.4648564503474315,0.15773897872507564
EB2 (no FP),rf,72,0.8444623753049569,0.5855013942266469,0.4692294204556158,0.15860288577187015,0.8451552415917543,0.5765550588080232,0.4848002082014709,0.15986075076542047
V1  sum,logreg,74,0.8510950970867531,0.5978100770887619,0.4576106115951686,0.15554998423702016,0.8489488226394577,0.6307638642177401,0.4638059017978189,0.15708439446830114
V1  sum,xgb,74,0.8508633326080244,0.5928543362060608,0.45658920463500496,0.15524844095943735,0.8503008170266695,0.627781327477402,0.46234196424484253,0.1565396636724472
V1  sum,lgbm,74,0.8505400726389334,0.5929551405422051,0.45722775494161133,0.15544713980900818,0.848430897354989,0.6124084663555387,0.464175076123636,0.15737924716536753
V1  sum,catboost,74,0.849834783849451,0.5909133899693546,0.45846833441608065,0.1556909619452797,0.8500111185893027,0.634748186370719,0.4630731604595754,0.15667971131015454
V1  sum,rf,74,0.8464785772528101,0.5865791115311999,0.4667280240053514,0.15744215538233605,0.8454027394375073,0.5640183961131483,0.48396684947748536,0.1596721330655618
V4  mean,logreg,74,0.8508192755160902,0.5955207747865443,0.45778101960062934,0.15561815841642596,0.8484067296701282,0.6436649287236307,0.46466481411000865,0.1575239354142632
V4  mean,xgb,74,0.8503622007577718,0.5883125137034502,0.4575061822601892,0.15550910239143495,0.8494285583570163,0.631382357820327,0.46368610858917236,0.15711304545402527
V4  mean,lgbm,74,0.8494646044298907,0.5878634352020162,0.458535971251672,0.15588806284269385,0.848616188616239,0.6281967180828137,0.46469267297572076,0.15750164701677988
V4  mean,catboost,74,0.8487004755357964,0.5816108078666373,0.4598038803343749,0.15615802488883565,0.8495836375556586,0.6442867363611365,0.4637060228347736,0.1570061380398717
V4  mean,rf,74,0.8462996865366166,0.5891113120871339,0.46740929951097837,0.15761966092804158,0.8476384798909442,0.5708066285243342,0.4733682907064436,0.1589124401182859
V4.2 mean x rank,logreg,74,0.8508624247609863,0.593577306260396,0.45758686469675164,0.15557443010533076,0.8469313158628042,0.6559903927074566,0.46633321453684606,0.1583994552712274
V4.2 mean x rank,xgb,74,0.8495608715485309,0.6038061288333696,0.4590883884201424,0.15608248759920518,0.8508647947442122,0.6366282857235921,0.4619666337966919,0.1565149575471878
V4.2 mean x rank,lgbm,74,0.8493713292463749,0.6029825977696363,0.4596492674365039,0.15622264681524967,0.8507946368584097,0.6411284610833827,0.46182524088360616,0.15641280096096372
V4.2 mean x rank,catboost,74,0.8488159915192359,0.5992285414534293,0.460959529558699,0.1564791208702332,0.84977015446238,0.6452843555584509,0.46379082555528905,0.15705939255025797
V4.2 mean x rank,rf,74,0.847395507974416,0.5991729834289975,0.46445337241658774,0.15724641730516592,0.8432575290497302,0.5643212989047399,0.48075545663373964,0.16054926433190803
V4.3 mean + gates,logreg,92,0.8520358669334201,0.6050130829076183,0.4552504513227852,0.15488690624732832,0.8458217667272667,0.5916040913749495,0.4672239549171886,0.15851103876996833
V4.3 mean + gates,xgb,92,0.8487183384898154,0.5887268819412812,0.45956095768592653,0.15630312730387902,0.8370458451280147,0.5964517196243134,0.47662070393562317,0.16258889436721802
V4.3 mean + gates,lgbm,92,0.847869966910122,0.5904883563048026,0.46053206394767654,0.15668502976990156,0.8372044997264341,0.5877163496681799,0.47615816137979633,0.1623148105212942
V4.3 mean + gates,catboost,92,0.847110180725388,0.5840382153082293,0.46202826311447237,0.1569755818200216,0.8341736239024529,0.5848901406893041,0.4800751293486043,0.1641187478364339
V4.3 mean + gates,rf,92,0.8441508589171519,0.5803315139377085,0.4661884331469254,0.15831558686562433,0.8388964400848877,0.5418636939331571,0.4818092450770993,0.16273851105361664
