encoding,model,AUC,logloss,brier,ECE,BSS,cAUC,dAUC_vs_EB2,vsEB2_lo,vsEB2_hi,dAUC_vs_v2,vsv2_lo,vsv2_hi
EB2 (no fp),logreg,0.8508,0.4575,0.1556,0.0153,0.3702,0.5963,0.0,0.0,0.0,-0.001133393508944846,-0.0028829045395470988,0.0006280485725321102
EB2 (no fp),xgb,0.8489,0.4586,0.1561,0.0139,0.3681,0.5861,0.0,0.0,0.0,0.0007019226531641991,-0.0018734888948056,0.003307419641596252
EB2 (no fp),lgbm,0.8493,0.4585,0.156,0.0128,0.3687,0.5898,0.0,0.0,0.0,0.0014847797329585674,-0.0012144767810013113,0.00411589939204906
EB2 (no fp),catboost,0.8491,0.459,0.156,0.0134,0.3685,0.5881,0.0,0.0,0.0,0.0025301906932139492,-0.00011729135464346997,0.005605256846498779
EB2 (no fp),rf,0.8446,0.4684,0.1585,0.0097,0.3583,0.5893,0.0,0.0,0.0,0.0005139466958690524,-0.0026443543534459433,0.0032351199508266564
EB2+v2,logreg,0.8519,0.4555,0.155,0.0156,0.3725,0.6059,0.001133393508944846,-0.0006280485725321111,0.0028829045395470988,0.0,0.0,0.0
EB2+v2,xgb,0.8482,0.4597,0.1565,0.0192,0.3666,0.5922,-0.0007019226531641991,-0.0033074196415962542,0.0018734888948055998,0.0,0.0,0.0
EB2+v2,lgbm,0.8478,0.4604,0.1567,0.0184,0.3656,0.5904,-0.0014847797329585674,-0.004115899392049061,0.001214476781001311,0.0,0.0,0.0
EB2+v2,catboost,0.8466,0.4625,0.1572,0.0153,0.3635,0.5853,-0.0025301906932139492,-0.005605256846498779,0.0001172913546434686,0.0,0.0,0.0
EB2+v2,rf,0.844,0.4658,0.1583,0.0147,0.359,0.5782,-0.0005139466958690524,-0.0032351199508266564,0.002644354353445942,0.0,0.0,0.0
EB2+v3-log2,logreg,0.8516,0.4561,0.1552,0.0162,0.3719,0.6007,0.0007697705841239036,-0.0011889232563941838,0.0024310814491861838,-0.0003636229248209424,-0.001732544185222004,0.0010763110513441392
EB2+v3-log2,xgb,0.8497,0.4589,0.156,0.0135,0.3685,0.5998,0.0008139696176082142,-0.0017487337383786411,0.0032614007304611423,0.0015158922707724134,-0.0015941162448024793,0.004203444546959115
EB2+v3-log2,lgbm,0.8489,0.4599,0.1564,0.0142,0.3669,0.5938,-0.00044943216579872527,-0.0032182619560109592,0.0020600454434930417,0.0010353475671598421,-0.0018406584821082676,0.003667257675858584
EB2+v3-log2,catboost,0.8486,0.4611,0.1565,0.0105,0.3665,0.5962,-0.0005329071834494295,-0.0030596320058590585,0.0019243329543646988,0.0019972835097645195,-0.0012681616475870017,0.004977409279398756
EB2+v3-log2,rf,0.8465,0.4676,0.1579,0.0091,0.3608,0.5936,0.0019729561360072316,-0.0013934721275767252,0.005872902891723122,0.002486902831876284,-0.0007285512805039584,0.005593713818108188
EB2+v3-inv,logreg,0.851,0.4571,0.1555,0.0162,0.3706,0.5965,0.00019520356130070727,-0.001506440546532553,0.0015340351956809907,-0.0009381899476441387,-0.002628161059489725,0.000732303328718578
EB2+v3-inv,xgb,0.8494,0.4591,0.1561,0.0138,0.368,0.5958,0.00047238036924666927,-0.0018324771959411623,0.002976684899935413,0.0011743030224108683,-0.0017610957826579316,0.003992708075302873
EB2+v3-inv,lgbm,0.8489,0.4595,0.1563,0.0148,0.3673,0.5937,-0.0003952173111866124,-0.00287853260145568,0.0019643213811383078,0.0010895624217719551,-0.0016094664423191185,0.003793296616387316
EB2+v3-inv,catboost,0.8485,0.4612,0.1566,0.011,0.3661,0.5998,-0.0006136677731847673,-0.003083424369841134,0.0020364220773572213,0.001916522920029182,-0.0013268236851763148,0.004958796042492319
EB2+v3-inv,rf,0.8448,0.468,0.1586,0.0118,0.3579,0.591,0.00029986838262893587,-0.003177429821969635,0.0040241568052193175,0.0008138150784979882,-0.0024270054337231285,0.004386552026556597
EB2+v3-linear,logreg,0.8525,0.4556,0.1549,0.0166,0.3731,0.6095,0.0017141589661798177,-0.0002199970282538099,0.0035399551709000493,0.0005807654572349719,-0.000909406477192179,0.002218673179489446
EB2+v3-linear,xgb,0.8486,0.46,0.1565,0.0158,0.3665,0.5944,-0.0003353948965021614,-0.002819684856657692,0.002091013253403658,0.0003665277566620377,-0.002537268214505342,0.0030789347316554218
EB2+v3-linear,lgbm,0.8493,0.4593,0.1562,0.015,0.3677,0.6005,-0.00002660987064943865,-0.0026761976370519467,0.002311656670294931,0.0014581698623091289,-0.0011060237324089005,0.00403894421474718
EB2+v3-linear,catboost,0.8478,0.4619,0.1569,0.0114,0.3648,0.5972,-0.0012822108799728153,-0.0037758686945627866,0.001252889755335237,0.0012479798132411337,-0.0018131684629041189,0.004035875986606923
EB2+v3-linear,rf,0.8451,0.467,0.1584,0.0122,0.3586,0.5919,0.0005581892442925496,-0.002723298276984154,0.0042991398236117626,0.0010721359401616019,-0.0022050982435645435,0.004432360087747287
