variant,model,n_features,cv_auc,cv_cauc,oot_auc,oot_cauc
EB2 (no FP),logreg,72,0.8507886581568492,0.5963083118897187,0.8473853235066656,0.6551456925499738
EB2 (no FP),xgb,72,0.8493196552056881,0.5861655456781515,0.8497589932931972,0.6277965720380292
+v1 (raw sums),logreg,81,0.85156538819382,0.5994405431451794,0.8473557350755325,0.6509937749168082
+v1 (raw sums),xgb,81,0.84939563690028,0.5914206716349952,0.8269189117541681,0.6202040233520156
+v2 (sided sums),logreg,92,0.8518995625021446,0.6054133922008389,0.845207229005037,0.5893632356494714
+v2 (sided sums),xgb,92,0.8485819497415266,0.5927986933140077,0.8412459972128653,0.5885902133329495
+v3 (rank-weighted),logreg,90,0.8514759030876743,0.6012330185231239,0.8448151351271185,0.6102566161393121
+v3 (rank-weighted),xgb,90,0.8494061590254971,0.5983568560266266,0.8469078176646733,0.6062834670183458
+v4 (means),logreg,92,0.8520358669334201,0.6050130829076183,0.8458217667272667,0.5916040913749495
+v4 (means),xgb,92,0.8487183384898154,0.5887268819412812,0.8370458451280147,0.5964517196243134
