k,n,ll_M0,ll_M1,ll_M2,ll_M2c,ll_M3
1,210,0.6931471805599453,0.6964251659475333,0.6961326901639666,0.6987848060000749,0.7001973716950741
2,220,0.6775313124913902,0.6765264438908768,0.6764310420131172,0.6791371761108254,0.6885536321471832
3,220,0.6713158198732835,0.6801787878638816,0.6835088612599908,0.6828303101619793,0.683257866326777
4,220,0.662596310216409,0.6609348356752998,0.6637299016928213,0.6644252749646364,0.6749704999797554
5,220,0.6455807699756883,0.6387170372572822,0.6402710330245289,0.6415077238244516,0.6546844741940286
6,220,0.6314809159741712,0.624663133109883,0.6262121109457193,0.6264838522952477,0.6430274478194998
7,220,0.6103014289211196,0.6031577025193249,0.605023049111415,0.6051050017256197,0.6137856151624255
8,220,0.5972219565401379,0.5868458359209667,0.588330925573649,0.5884059771269621,0.5980427922288379
9,220,0.5803216447908334,0.580840162835116,0.5833546028759771,0.5814720147983591,0.5911528734434242
10,220,0.5646048465123831,0.5450732064839453,0.5464776621983558,0.5477095193190745,0.5494604297278745
11,220,0.5310104731602185,0.5154242117065907,0.5161401213506809,0.5202464432451175,0.5310564810862306
12,220,0.5112087472677063,0.50366898662188,0.5042671137539811,0.5084365303242562,0.5145947302873648
13,219,0.4899117929427417,0.48422720976237604,0.48443365846455666,0.4891350380739581,0.508587454579964
14,218,0.456123197481516,0.4428516513885845,0.44222691790741087,0.44972927767559623,0.46068477714712336
15,215,0.43545736679372665,0.43853889225079407,0.43826395533734425,0.44308281231100294,0.4606850909902777
16,211,0.436335451867266,0.431866595966427,0.43218850210889437,0.4362464105590837,0.45224747986675223
17,198,0.46136727840587993,0.4596791483615299,0.4610467567900699,0.46052434376409523,0.47639914802807176
18,186,0.4714722934068758,0.4585500910051165,0.4595518824921244,0.4596106584998135,0.4617919106287871
19,172,0.46124792685350785,0.46209399642168597,0.46249863005909675,0.4638661361485016,0.4643836293143429
20,149,0.5133891177101833,0.5077901422702025,0.5090486411389223,0.5073441859883742,0.5225828642855473
21,127,0.6186564358190577,0.5953471046639268,0.5976991585318792,0.5850491450894657,0.589976089799424
22,106,0.6174798199431458,0.5985746256435358,0.5995949914528461,0.5913841377057935,0.6095689982401652
23,82,0.6250510941548079,0.5837204041350141,0.5843699340637268,0.5854819585799963,0.5983381456224577
24,63,0.6757827970631008,0.663832288070941,0.6642425173418104,0.65502633658092,0.6697094253312851
25,36,0.708482108073584,0.7184477284963555,0.7173834836976516,0.7227014114998054,0.6952025274313524
26,36,0.6690355684735777,0.6858888660443376,0.6848072865821115,0.6938175853807971,0.7157866571896898
27,36,0.650884223328809,0.6684642456621632,0.668021254184007,0.6694273454215153,0.6844608847939554
28,36,0.5582763670847233,0.5731330346385644,0.5726240476029658,0.5679030567646497,0.5943412939944474
29,31,0.5823473276727673,0.5993780794303416,0.5987608418953527,0.5953546181675248,0.5858451830859286
30,21,0.6891698711883272,0.7132548519969195,0.7127205082194366,0.7027517661754321,0.7157869099946461
31,13,0.7467368881941749,0.7801617960040133,0.7793285211667574,0.777299398120924,0.7624437586934498
32,13,0.7389708844843432,0.7719179775810303,0.7719671374552272,0.7645118077576942,0.810699308856022
33,13,0.6319820530213975,0.6585126681838083,0.6572403788241117,0.6673720642523269,0.7209266306687355
34,13,0.45399483532592655,0.4754870643150259,0.473529901806477,0.503312787141772,0.564749277033792
35,13,0.3585923109520704,0.3759733124784045,0.37482464399392207,0.39449627261883163,0.42819241604886393
36,6,0.647514563759927,0.6868654346475213,0.6859796851055119,0.6790883276518028,0.7540699013923639
37,4,0.6931471805599454,0.7413284077734268,0.7395640600175366,0.7474933438982452,0.7622381649653152
38,4,0.7492808602886579,0.7985888762781241,0.797537943764727,0.7848949469396946,0.8263227347223617
39,4,0.5785088241429828,0.6138441488911914,0.6118884465934906,0.626754743099484,0.7206377327042917
40,4,0.5826097277369878,0.6096042272943203,0.6084473935620427,0.6282398252731934,0.7090102638568363
41,4,0.27685168592727066,0.289897319406694,0.28847609620200376,0.3273628851611802,0.39430827194117785
42,3,0.2883814264612415,0.3055144631776676,0.3042134528885432,0.3605294945804522,0.6794029927638202
