sd,n,realised,M0,M1,M2,M2c,M3
-6,303,0.052805280528052806,0.02973221959190678,0.06067338399873817,0.05286064399971546,0.0748091663545056,0.08399814518518967
-5,193,0.13989637305699482,0.08841203872419191,0.13872341626282192,0.12628767413308367,0.15517071175035144,0.1332589680126294
-4,266,0.20676691729323307,0.13842681173583113,0.18882718769484363,0.1766279803244114,0.20343777659027723,0.19769393490221268
-3,359,0.2785515320334262,0.21193326524034467,0.2568965796553196,0.24497955886704034,0.26609112341422425,0.2822975722196042
-2,471,0.33970276008492567,0.29677084140671983,0.3236144250357817,0.3140946328254521,0.32802089264426465,0.33100190969093085
-1,580,0.4068965517241379,0.3921713485046796,0.40045775737129785,0.39554341988522335,0.39927044259745803,0.41344737921809327
0,738,0.5013550135501355,0.5102550075346665,0.5073384526302047,0.5079829094873191,0.4959326772526784,0.49668833484171526
1,565,0.5982300884955752,0.6350785186762704,0.6249678953545942,0.631823108672228,0.6029828196503347,0.5902177114402298
2,427,0.6604215456674473,0.7347529827715058,0.7067857926708536,0.717425532035467,0.6801866568025883,0.6645153184406093
3,310,0.7193548387096774,0.8174924393407029,0.7772112600940498,0.7899336597622495,0.7490721876369556,0.7343605410668158
4,212,0.8207547169811321,0.88058899765935,0.8380874161724826,0.8513133158747989,0.8112527214596184,0.8105820532677308
5,164,0.8841463414634146,0.9276098538464315,0.887784165017374,0.8998710622659698,0.8639310005241003,0.8788245680128656
6,278,0.9532374100719424,0.9745643790729865,0.9531650519370483,0.9604746665108934,0.9387416657799144,0.9366480742427085
