sd,n,A0,A1,y
-6,296,0.03054395884451587,0.02847968193717455,0.05405405405405406
-5,189,0.08942901323663917,0.08636347881295466,0.14285714285714285
-4,263,0.13949194113972752,0.13312422185409822,0.20912547528517111
-3,358,0.21408638913495445,0.20802818091117406,0.27932960893854747
-2,470,0.30101266161156826,0.2886348788833995,0.3404255319148936
-1,578,0.3981482616751387,0.38703554821668085,0.4083044982698962
0,738,0.5108849692244202,0.510271121131568,0.5040650406504065
1,567,0.6290585010519296,0.6397814089501935,0.599647266313933
2,428,0.729466343119731,0.7368907785599839,0.6612149532710281
3,311,0.8151652927542464,0.8221321160392894,0.7202572347266881
4,215,0.8791156044546049,0.8850485632454189,0.8232558139534883
5,168,0.9267607796496594,0.9312751607230522,0.8869047619047619
6,285,0.9745709090911644,0.9772536215156973,0.9543859649122807
