sd,n,p_x_wins_round,x_econ,y_econ
-6,261,0.47509578544061304,1.950191570881226,1.946360153256705
-5,185,0.43243243243243246,1.945945945945946,1.945945945945946
-4,237,0.4388185654008439,1.970464135021097,1.970464135021097
-3,357,0.453781512605042,1.9103641456582634,1.977591036414566
-2,431,0.44779582366589327,1.8909512761020881,1.9605568445475638
-1,577,0.43674176776429807,1.8977469670710572,1.9566724436741767
0,498,0.5060240963855421,1.9236947791164658,1.9257028112449799
1,566,0.5335689045936396,1.9558303886925794,1.7791519434628975
2,404,0.5396039603960396,1.9282178217821782,1.8985148514851484
3,309,0.5307443365695793,1.9838187702265373,1.9449838187702266
4,192,0.546875,1.9739583333333333,1.984375
5,168,0.625,1.9583333333333333,1.9345238095238095
6,252,0.5793650793650794,1.9523809523809523,1.9603174603174602
