model,set,t_lo,t_hi,n,AUC
logreg,A,0,5,24325,0.6934321752389363
logreg,A,5,10,24324,0.6937657797814555
logreg,A,10,20,48638,0.713736675699735
logreg,A,20,40,96095,0.7786203160241515
logreg,A,40,60,91051,0.841593492820246
logreg,A,60,90,113268,0.8921369196802559
logreg,A,90,999,78894,0.9531952397346434
logreg,EB2,0,5,24325,0.6904721052421589
logreg,EB2,5,10,24324,0.6894711456318797
logreg,EB2,10,20,48638,0.7128930106565299
logreg,EB2,20,40,96095,0.7797438676885333
logreg,EB2,40,60,91051,0.8439139419750895
logreg,EB2,60,90,113268,0.8976075746214489
logreg,EB2,90,999,78894,0.9629286863315814
logreg,Clock,0,5,24325,0.48101889682179144
logreg,Clock,5,10,24324,0.48098073822696674
logreg,Clock,10,20,48638,0.48452390557579467
logreg,Clock,20,40,96095,0.4922004307104229
logreg,Clock,40,60,91051,0.49610954935666396
logreg,Clock,60,90,113268,0.5044874060138653
logreg,Clock,90,999,78894,0.6064338875249418
logreg,Score,0,5,24325,0.5432312169976541
logreg,Score,5,10,24324,0.5430907969288785
logreg,Score,10,20,48638,0.5430221719513707
logreg,Score,20,40,96095,0.5426571968914697
logreg,Score,40,60,91051,0.5415983254293917
logreg,Score,60,90,113268,0.5298982082908663
logreg,Score,90,999,78894,0.5180795312251993
logreg,Money,0,5,24325,0.6880929876086812
logreg,Money,5,10,24324,0.6886435907131918
logreg,Money,10,20,48638,0.7088328447178818
logreg,Money,20,40,96095,0.7711197566860124
logreg,Money,40,60,91051,0.8291603985366266
logreg,Money,60,90,113268,0.8728816405252292
logreg,Money,90,999,78894,0.9329369777406827
logreg,Combat,0,5,24325,0.480739660187785
logreg,Combat,5,10,24324,0.4817397271316191
logreg,Combat,10,20,48638,0.5628439722959511
logreg,Combat,20,40,96095,0.6933361326800586
logreg,Combat,40,60,91051,0.7987393191595455
logreg,Combat,60,90,113268,0.8746737245479907
logreg,Combat,90,999,78894,0.9490219822195864
logreg,Spatial,0,5,24325,0.48287176483167393
logreg,Spatial,5,10,24324,0.49792688102673527
logreg,Spatial,10,20,48638,0.5776315229439453
logreg,Spatial,20,40,96095,0.638436616348458
logreg,Spatial,40,60,91051,0.733282971398594
logreg,Spatial,60,90,113268,0.7915418529631362
logreg,Spatial,90,999,78894,0.8639689950707424
logreg,SpatialT-,0,5,24325,0.6816213419872416
logreg,SpatialT-,5,10,24324,0.6772910883699558
logreg,SpatialT-,10,20,48638,0.6825708566007409
logreg,SpatialT-,20,40,96095,0.725937804460937
logreg,SpatialT-,40,60,91051,0.7915493524810865
logreg,SpatialT-,60,90,113268,0.8421459589974613
logreg,SpatialT-,90,999,78894,0.9247348092752881
logreg,SpatialT,0,5,24325,0.6757593953181544
logreg,SpatialT,5,10,24324,0.669435588047946
logreg,SpatialT,10,20,48638,0.6833730943834532
logreg,SpatialT,20,40,96095,0.741051398291143
logreg,SpatialT,40,60,91051,0.8101508218401258
logreg,SpatialT,60,90,113268,0.8665867280019073
logreg,SpatialT,90,999,78894,0.9422574447028684
logreg,Bomb,0,5,24325,0.497267088600796
logreg,Bomb,5,10,24324,0.4835071438378654
logreg,Bomb,10,20,48638,0.5195681209785649
logreg,Bomb,20,40,96095,0.5507905614467014
logreg,Bomb,40,60,91051,0.6349377756987558
logreg,Bomb,60,90,113268,0.750283340132353
logreg,Bomb,90,999,78894,0.9102918585104428
logreg,NoEcon-,0,5,24325,0.6831281922530745
logreg,NoEcon-,5,10,24324,0.6774639004333528
logreg,NoEcon-,10,20,48638,0.6829253300617235
logreg,NoEcon-,20,40,96095,0.7261113652588084
logreg,NoEcon-,40,60,91051,0.7927844567325515
logreg,NoEcon-,60,90,113268,0.848566185717726
logreg,NoEcon-,90,999,78894,0.9366442075057934
