feature,pillar,logreg_auc_drop,xgb_auc_drop,lgbm_auc_drop,catboost_auc_drop,rf_auc_drop
min_ct_dist_to_bomb,tactical,0.0586359898499565,0.01593904016330643,0.0147712654757256,0.01089440053772637,0.002218501677349097
ct_equipment_value,economy,0.05386091815215105,0.03909988115301987,0.03807836203615954,0.040291576106607656,0.019633281495612602
t_equipment_value,economy,0.046658302650802314,0.04103748899746097,0.041139102132018636,0.037877739501512006,0.021074083418844734
ct_health_total,economy,0.041626770803416306,0.023835584589513435,0.023923182327887645,0.024081073289423143,0.005995576493485188
t_players_alive,economy,0.03181208305951602,0.007332918071513447,0.007267493920302211,0.022100106792532034,0.008295805529440337
t_health_total,economy,0.031477086087233916,0.0345638867725229,0.0347426512953075,0.03385395148323133,0.012815036083214082
bomb_plant_y,tactical,0.02800015351801584,0.00003948839496604406,0.00002826093148568162,0.00004197498106041367,0.000435875828896959
bomb_planted,economy,0.021289349750463357,0.000012499948125350429,-3.3554245347994766e-6,2.6304447298743423e-6,0.00016804254180773778
bomb_plant_x,tactical,0.02003494418649935,0.0011980573339600488,0.001507336193979172,0.00038813347934359507,0.00080949553660811
bomb_site,tactical,0.01499877683483432,2.3486694005311034e-7,-3.654812921247261e-6,0.000013099217437585884,0.0002585731250411522
ct_mid_control,voronoi,0.010005221394050762,0.0002677589128244296,0.00022587603541778073,0.0003365546560172686,-0.00014643329592810481
control_deficit,voronoi,0.005976109816897104,0.00003789584136371622,0.00022331732582344,0.00015196461338137795,0.00003304385968147987
ct_voronoi_control_pct,voronoi,0.00574926138400031,0.0005331994123070604,0.00017516618595877587,0.00020909172384629628,-0.000019270984629472
ct_players_alive,economy,0.0054714540172844375,0.0024545501061370525,0.00223990775095904,0.006839443657197728,0.0031844086721777706
t_economy_class,economy,0.005234066331303541,0.00001368027228249461,0.000024362233161725517,0.000017189275202219938,0.0006520885940955923
t_b_site_players,tactical,0.003823721078334342,0.00035013847220517454,0.000352602415954753,0.00037430044316665034,0.00018854002486404461
ct_armor_total,economy,0.0033315956125482067,0.012797239366323142,0.01405611990051779,0.014801470972861717,0.009123761829684914
ct_economy_class,economy,0.0030286803459473335,0.000024148096461812486,0.00003652017020009615,0.00022987584157412708,0.00008848729741549263
ct_banana_control,voronoi,0.0024191658186411835,7.174863431621404e-6,-0.00003483655596616634,0.000023931052805513687,-0.00011058093842485408
t_banana_players,tactical,0.0016399740788776778,0.000025845370256207188,0.00003548082208971742,-1.7349998385797785e-6,-0.0001203646676663602
ct_ct_spawn_control,voronoi,0.0015450191242171861,-1.6740162834795717e-7,2.688706192285644e-6,-6.231150380177834e-6,-0.00009152179120298004
t_awp_alive,tactical,0.0013890611268493893,0.00019904015596304716,0.00011113967534168907,0.000551437578978837,-0.00012533421163320527
t_armor_total,economy,0.0013459743862157575,0.011334472162175719,0.012014538322458669,0.012047347352414148,0.007765886258859576
time_elapsed_sec,economy,0.0010227691675887497,0.0005344833403623683,0.0006024938556737738,0.00043540189542709063,0.000012572898888806734
