feature,partial_corr_with_outcome,abs_partial_corr,economy_r2
defuse_margin_kit,0.04681348141677322,0.04681348141677322,0.15205052500154814
defuse_time_margin,0.04593868125859196,0.04593868125859196,0.15318753117081962
defuse_contest_margin,0.04487179719048333,0.04487179719048333,0.6535954320369675
min_ct_dist_to_bomb,-0.04455317787371099,0.04455317787371099,0.6898900267217959
min_ct_path_to_bomb,-0.043116019793433956,0.043116019793433956,0.6808531710736989
ct_bomb_local_control,0.040840844401912796,0.040840844401912796,0.42382580836682004
ct_bomb_local_deficit,0.04084084440190218,0.04084084440190218,0.4238258083668195
ct_a_site_control,0.038329652977449134,0.038329652977449134,0.39903925329370193
n_ct_near_bomb,0.03487689025084896,0.03487689025084896,0.2717198661221749
t_b_site_players,-0.033855668888547706,0.033855668888547706,0.14329945465969163
t_awp_alive,0.03316938098386476,0.03316938098386476,0.2803298547112012
ct_b_site_control,0.03189339739289894,0.03189339739289894,0.31863028614507616
min_ct_dist_to_bomb_live,-0.031467061506150515,0.031467061506150515,0.28054713023279865
t_a_site_players,-0.02780997243716493,0.02780997243716493,0.13891029514369635
t_mid_players,0.027487736565490205,0.027487736565490205,0.2663522786596737
ct_voronoi_control_pct,0.026544001471961426,0.026544001471961426,0.3876765841041814
control_deficit,0.026544001471960073,0.026544001471960073,0.38767658410417916
t_smokes,0.025305409872823485,0.025305409872823485,0.7189000085901786
t_awp_zone,0.02420028537168453,0.02420028537168453,0.17496508723781767
t_flashes,0.02368887169363149,0.02368887169363149,0.6096042789174376
n_ct_can_defuse,0.023442734309061117,0.023442734309061117,0.5302321852777556
ct_closer_to_bomb,0.021818701348048194,0.021818701348048194,0.13088620659948247
t_he,-0.018807811048410124,0.018807811048410124,0.45475454471110666
ct_awp_alive,-0.017484118532390975,0.017484118532390975,0.48654950163179145
ct_ct_spawn_control,0.015956490540106373,0.015956490540106373,0.2985429885912898
bomb_carrier_zone,0.01518612340207438,0.01518612340207438,0.21469356706398346
t_util_total,0.014697717186359278,0.014697717186359278,0.7748368662820904
ct_flashes,0.014605130353572584,0.014605130353572584,0.6452935982102449
ct_a_site_players,0.014328807502726169,0.014328807502726169,0.12100056861961883
best_defuser_has_kit,0.011734462630477008,0.011734462630477008,0.4916854767612314
ct_banana_players,0.011310898340259107,0.011310898340259107,0.09712447646638545
ct_ct_spawn_players,-0.010122321586287779,0.010122321586287779,0.08394058195613896
ct_awp_zone,-0.00933580096567678,0.00933580096567678,0.16866468409853408
ct_mid_control,-0.008412832964719801,0.008412832964719801,0.22629263210373451
ct_banana_control,0.007930397069033904,0.007930397069033904,0.14240565239937963
min_t_dist_to_bomb_live,-0.007316884984525999,0.007316884984525999,0.09206487285495979
ct_fire,0.00722591026414683,0.00722591026414683,0.5819787330119103
ct_util_total,0.006969700291486741,0.006969700291486741,0.7725620976589844
control_volatility,-0.006908694238567941,0.006908694238567941,0.30655692854653915
utility_advantage,-0.006731288104985563,0.006731288104985563,0.6264194281532915
ct_smokes,-0.00550027387179711,0.00550027387179711,0.6415937438168589
t_ct_spawn_players,-0.005371062562030542,0.005371062562030542,0.05501775468885839
ct_b_site_players,0.005322379580504129,0.005322379580504129,0.14213554314193333
bomb_dropped,0.004590907299425255,0.004590907299425255,0.10325536975680127
bomb_state,0.004582916557989204,0.004582916557989204,0.784086080259506
bomb_plant_x,-0.0037491334980721052,0.0037491334980721052,0.6836597126086355
t_positional_entropy,-0.003034621663982904,0.003034621663982904,0.2849409473410236
ct_mid_players,-0.003032926956608752,0.003032926956608752,0.04141133299884192
t_banana_players,-0.002204804562989562,0.002204804562989562,0.14337128876877614
bomb_site,0.0019185297195208695,0.0019185297195208695,0.8839394055301095
ct_positional_entropy,-0.0019097178072643125,0.0019097178072643125,0.5212251006703881
t_fire,0.0013560633425687676,0.0013560633425687676,0.5772142001553453
bomb_plant_y,-0.00039321057419945004,0.00039321057419945004,0.6317639921248979
control_trend,0.00031811522350096307,0.00031811522350096307,0.1022532160660582
ct_he,1.782034160846743e-6,1.782034160846743e-6,0.565466755573689
