rung,ncols,AUC,logloss,brier,ECE,AUC_lo,AUC_hi,dAUC_vs_R2,dAUC_vs_R2_lo,dAUC_vs_R2_hi,dLL_vs_R2,dLL_vs_R2_lo,dLL_vs_R2_hi,dAUC_vs_snapEB2,dAUC_vs_snapEB2_lo,dAUC_vs_snapEB2_hi,dLL_vs_snapEB2,dLL_vs_snapEB2_lo,dLL_vs_snapEB2_hi,dAUC_vs_R1,dAUC_vs_R1_lo,dAUC_vs_R1_hi,dLL_vs_R1,dLL_vs_R1_lo,dLL_vs_R1_hi
R1 format+score,9,0.5360263341177107,0.6912773066343895,0.24906312904909464,0.0120217042711983,0.5190341191371427,0.5524449474304471,-0.1463441440019626,-0.16464479625846346,-0.12809516517770161,0.07497564914328979,0.06576383910792125,0.08381173484570509,-0.15495917356256517,-0.17371843979997745,-0.13552166759846487,0.07645092238903245,0.06717073664151312,0.08542866069893797,,,,,,
R2 +buy,37,0.6821733338742832,0.6163333328275006,0.21687676875805117,0.02883207366025719,0.66893237573142,0.6957352520158693,,,,,,,-0.008615029560602528,-0.015155243661744458,-0.0021067930035519856,0.0014752732457426758,-0.0013804932117864237,0.004181370863164452,0.1463441440019626,0.1280951651777016,0.16464479625846346,-0.07497564914328979,-0.08381173484570509,-0.06576383910792126
R3 +history,45,0.6866495253164557,0.6162813337216487,0.2168165415163889,0.027473692920753856,0.6729612129368547,0.700453401542994,0.004326173612873873,0.00023831360614082753,0.008461407844853497,2.4566670856018826e-6,-0.0013346926100609418,0.0012228907561854705,-0.004288855947728655,-0.011347570599701791,0.002290112061244291,0.0014777299128282777,-0.0014900930162310782,0.004321618091238247,0.15067031761483649,0.13188144433175342,0.16872874784491684,-0.0749731924762042,-0.08376750320253598,-0.06543067876292247
"R4 +team prior (same-yr, leaky)",51,0.6918189778751487,0.6160236405976042,0.2165477711394741,0.021384019863000005,0.6788065888900473,0.7061982439668278,0.00941493663016025,0.0031453985951576946,0.01547685049076322,-0.00019189860311453555,-0.002716707603341076,0.0021557570875644057,0.000799907069557722,-0.007643078459115635,0.00881611557913295,0.0012833746426281403,-0.00223214028969462,0.004616299082291749,0.15575908063212285,0.13710847190840073,0.17408669311529654,-0.07516754774640433,-0.08429956873537532,-0.06569287232377133
"R5 +player prior (same-yr, leaky)",54,0.6922918019041437,0.6156439664041292,0.21638527804204183,0.02791151444068976,0.6786832268172057,0.7073294392087502,0.009819550905642526,0.003752822337174708,0.016001810057447705,-0.0005485824391070855,-0.0033406877806954195,0.0019546667538380765,0.0012045213450399973,-0.006448993675149825,0.009033486721064897,0.0009266908066355903,-0.002775791964102439,0.004299429180528338,0.15616369490760512,0.13709423786553504,0.17481950487052103,-0.07552423158239688,-0.0848014681797138,-0.06588961627179518
R4L +team prior (lagged),53,0.6872729700854701,0.616557327911641,0.21696565950020594,0.02622018778987939,0.6740644907970669,0.7021107707537221,0.004898776557116463,-0.00063826352864563,0.010567268788852058,0.0003123890360805555,-0.001999602248921739,0.002383428062025724,-0.0037162530034860653,-0.011561262670726246,0.0036517079731754913,0.0017876622818232312,-0.001829899743424579,0.004991122718074728,0.15124292055907904,0.1319973271842243,0.17024620655094697,-0.07466326010720922,-0.08433597445639146,-0.06472182388246146
R5L +player prior (lagged),58,0.6879041910094126,0.6164673463542467,0.21692109410822905,0.02743141807092575,0.674566371541994,0.7025764559932757,0.005508165584521078,-0.00028751430781621387,0.011724209261957889,0.00024898456617241727,-0.002293241956739497,0.002274360693418234,-0.003106863976081451,-0.011374580097496293,0.005178614266984299,0.0017242578119150932,-0.0018399278775016626,0.0050728381379424045,0.15185230958648366,0.1325599916413366,0.1714068673719733,-0.07472666457711738,-0.08419260592864562,-0.06467917920017797
priors only (same-yr),11,0.5329631207400195,0.6926692228522418,0.24974938145519504,0.019438885260560715,0.511976156833223,0.5514265257243841,-0.14981094852445262,-0.1724608505303698,-0.1280282483676688,0.07645925770774141,0.06620110291982131,0.08531721214018921,-0.15842597808505515,-0.18063825064068023,-0.13599077216865843,0.07793453095348409,0.06782288064505507,0.08787630115603344,-0.0034668045224900326,-0.02774810123210348,0.01853261901597951,0.0014836085644516163,-0.002288537000771501,0.005539413939240165
priors only (lagged),15,0.5034702781834901,0.6948940753484216,0.2508660198670346,0.027214091576496964,0.4837284828238125,0.5251606551169168,-0.17910949280357033,-0.20141554809218754,-0.153896977800934,0.07865681725187088,0.06936715415880368,0.08821459277120182,-0.18772452236417286,-0.21096000615069235,-0.16336806067038545,0.08013209049761355,0.07039193072685905,0.08966353634323174,-0.032765348801607745,-0.057133163720631465,-0.00669030427194217,0.0036811681085810876,0.000042183704786988345,0.0072110941476678505
first-snapshot A (per-second model),17,0.6917456115438709,0.6137820083767717,0.21574910337040376,0.02027708223604548,0.6789985280264533,0.7045482820019763,0.00973179851331122,0.002749746703031897,0.01582088922175011,-0.002618614385645875,-0.004968560707051766,0.00016342362893471263,0.0011167689527086919,-0.00382791812223478,0.006403329665058906,-0.0011433411399031995,-0.0031381152970869188,0.0006043199031832498,0.15607594251527382,0.13574631676067303,0.1752054584254744,-0.07759426352893567,-0.08618775978603285,-0.06826157816243521
