victim,bin,n,p0,p_before,p_after,y,jump
ct,0.0,264,0.08635560678230109,0.0829787548447488,0.03950573259320744,0.041666666666666664,-0.043473022251541364
ct,1.0,375,0.2964239265272678,0.2814398375245385,0.14641964922599388,0.13866666666666666,-0.13502018829854467
ct,2.0,1185,0.4979392742110537,0.4484895526336359,0.22981840534071504,0.2641350210970464,-0.2186711472929207
ct,3.0,222,0.689461291784291,0.6522186844409811,0.41890118811252497,0.4009009009009009,-0.23331749632845614
ct,4.0,22,0.9004012060840515,0.892853272344409,0.7519949245760706,0.8181818181818182,-0.14085834776833867
t,0.0,143,0.12152012072446101,0.13090290920744155,0.31246414445116827,0.2517482517482518,0.1815612352437267
t,1.0,327,0.3052368610347513,0.31598279453112,0.5545833793816937,0.5351681957186545,0.23860058485057353
t,2.0,1603,0.5004292047620242,0.4791535124740987,0.7296827936332911,0.669369931378665,0.25052928115919204
t,3.0,460,0.6905669282960512,0.6809978823555827,0.8446287593284246,0.7891304347826087,0.16363087697284193
t,4.0,250,0.9286749723276452,0.9289066633673633,0.9678670515889117,0.956,0.03896038822154879
